,Resource,Type,Zone
0,CAISO_Advanced_CCGT_candidate,Thermal,1
1,CAISO_Aero_CT_candidate,Thermal,1
2,CAISO_Reciprocating_Engine_candidate,Thermal,1
3,CAISO_Shed_DR_Tranche1,Thermal,1
4,CAM_CAM_RA_i,Thermal,1
5,CAM_CAM_RA_ii,Thermal,1
6,CAM_CAM_RA_iii,Thermal,1
7,CAM_CPE_RA_i,Thermal,1
8,CAM_CPE_RA_ii,Thermal,1
9,CAM_DR_RA,Thermal,1
10,Generic_RA_Only,Thermal,1
11,Leapfrog_Power,Thermal,1
12,Tierra_Buena,Thermal,1
13,Aquamarine_Westside,Vre,1
14,Arizona_Solar,Vre,1
15,Humboldt_Bay_Offshore_Wind,Vre,1
16,Morro_Bay_Offshore_Wind,Vre,1
17,NW_Ext_Tx_Wind,Vre,1
18,New_Mexico_Wind,Vre,1
19,Northern_California_Solar,Vre,1
20,Northern_California_Wind,Vre,1
21,Riverside_Palm_Springs_Wind,Vre,1
22,Riverside_Solar,Vre,1
23,Wyoming_Wind,Vre,1
24,Arizona_Li_Battery,Storage,1
25,CAISO_New_Flow_Battery,Storage,1
26,CAISO_New_Flow_Battery_12,Storage,1
27,CAISO_New_Flow_Battery_8,Storage,1
28,CAISO_New_LDES_Battery_12,Storage,1
29,CC_Power_GoalLine,Storage,1
30,CC_Power_Tumbleweed,Storage,1
31,Generic_4hr_battery_low_cost,Storage,1
32,Generic_6hr_battery,Storage,1
33,Generic_6hr_battery_low_cost,Storage,1
34,Generic_8hr_battery,Storage,1
35,Generic_8hr_battery_low_cost,Storage,1
36,Northern_California_Li_Battery,Storage,1
37,Riverside_Li_Battery,Storage,1
38,Riverside_West_Pumped_Storage,Storage,1
39,Tehachapi_Pumped_Storage,Storage,1
40,FishLake,Must_run,1
41,Greater_Imperial_Geothermal,Must_run,1
42,InState_Biomass,Must_run,1
43,Northern_California_Geothermal,Must_run,1
44,Ormat_Portfolio,Must_run,1
45,Southern_Nevada_Geothermal,Must_run,1
46,IndianValley_Hydro,Must_run,1
47,GibsonSolar,Vre_stor,1
48,PutahCreek,Vre_stor,1
49,Resurgence_Hybrid,Vre_stor,1
50,WillowSpringsSolar,Vre_stor,1
