Resource,Zone,Model,New_Build,Can_Retire,Existing_Cap_MW,Max_Cap_MW,Min_Cap_MW,Inv_Cost_per_MWyr,Fixed_OM_Cost_per_MWyr,Var_OM_Cost_per_MWh,Heat_Rate_MMBTU_per_MWh,Fuel,Cap_Size,Start_Cost_per_MW,Start_Fuel_MMBTU_per_MW,Up_Time,Down_Time,Ramp_Up_Percentage,Ramp_Dn_Percentage,Min_Power,Reg_Max,Rsv_Max,Reg_Cost,Rsv_Cost,region,cluster
CAISO_Advanced_CCGT_candidate,1,1,1,0,0,9999,0,103022.8,33289.5,0.255,10.17,CA_Natural_Gas,600,27.06,4.571,2,1,0.15,0.15,0.2,1,1,0,0,CCA,1
CAISO_Aero_CT_candidate,1,1,1,0,0,9999,0,129227.1,26806,0.255,17.63,CA_Natural_Gas,100,5.41,4.571,1,1,0.15,0.15,0.3,1,1,0,0,CCA,1
CAISO_Reciprocating_Engine_candidate,1,1,1,0,0,9999,0,129227.1,26806,1.034,9.37,CA_Natural_Gas,10.357,7.79,0.803,2,1,0.09,0.09,0.15,1,1,0,0,CCA,1
CAISO_Shed_DR_Tranche1,1,2,1,0,0,9999,0,141588.4,0,250,10,Conventional_DR,1,0,0,0,0,1,1,0,1,1,0,0,CCA,1
CAM_CAM_RA_i,1,2,0,0,5.4,-1,0,0,0,1000,10,Conventional_DR,1,0,0,0,0,1,1,0,1,1,0,0,CCA,1
CAM_CAM_RA_ii,1,2,0,0,0.2,-1,0,0,0,1000,10,Conventional_DR,1,0,0,0,0,1,1,0,1,1,0,0,CCA,1
CAM_CAM_RA_iii,1,2,0,0,0,-1,0,0,0,1000,10,Conventional_DR,1,0,0,0,0,1,1,0,1,1,0,0,CCA,1
CAM_CPE_RA_i,1,2,0,0,22,-1,0,0,0,1000,10,Conventional_DR,1,0,0,0,0,1,1,0,1,1,0,0,CCA,1
CAM_CPE_RA_ii,1,2,0,0,0,-1,0,0,0,1000,10,Conventional_DR,1,0,0,0,0,1,1,0,1,1,0,0,CCA,1
CAM_DR_RA,1,2,0,0,3.3,-1,0,0,0,1000,10,Conventional_DR,1,0,0,0,0,1,1,0,1,1,0,0,CCA,1
Generic_RA_Only,1,2,1,0,0,9999,0,236224.9,0,1000,10,Conventional_DR,1,0,0,0,0,1,1,0,1,1,0,0,CCA,1
Leapfrog_Power,1,2,0,0,7,-1,0,0,75542.3,1000,10,Conventional_DR,1,0,0,0,0,1,1,0,1,1,0,0,CCA,1
Tierra_Buena,1,2,0,0,2.5,-1,0,0,76538.8,1000,10,Conventional_DR,1,0,0,0,0,1,1,0,1,1,0,0,CCA,1
