Resource,Derating_Factor_1
Aquamarine_Westside,0.98
Arizona_Li_Battery,0.98
Arizona_Solar,0.98
CAISO_Advanced_CCGT_candidate,0.98
CAISO_Aero_CT_candidate,0.98
CAISO_New_Flow_Battery,0.98
CAISO_New_Flow_Battery_12,0.98
CAISO_New_Flow_Battery_8,0.98
CAISO_New_LDES_Battery_12,0.98
CAISO_Reciprocating_Engine_candidate,0.98
CAISO_Shed_DR_Tranche1,0.98
CAM_CAM_RA_i,0.98
CAM_CAM_RA_ii,0.98
CAM_CAM_RA_iii,0.98
CAM_CPE_RA_i,0.98
CAM_CPE_RA_ii,0.98
CAM_DR_RA,0.98
CC_Power_GoalLine,0.98
CC_Power_Tumbleweed,0.98
FishLake,0.98
Generic_4hr_battery_low_cost,0.98
Generic_6hr_battery,0.98
Generic_6hr_battery_low_cost,0.98
Generic_8hr_battery,0.98
Generic_8hr_battery_low_cost,0.98
Generic_RA_Only,0.98
GibsonSolar,0.98
Greater_Imperial_Geothermal,0.98
Humboldt_Bay_Offshore_Wind,0.98
InState_Biomass,0.98
IndianValley_Hydro,0.98
Leapfrog_Power,0.98
Morro_Bay_Offshore_Wind,0.98
NW_Ext_Tx_Wind,0.98
New_Mexico_Wind,0.98
Northern_California_Geothermal,0.98
Northern_California_Li_Battery,0.98
Northern_California_Solar,0.98
Northern_California_Wind,0.98
Ormat_Portfolio,0.98
PutahCreek,0.98
Resurgence_Hybrid,0.98
Riverside_Li_Battery,0.98
Riverside_Palm_Springs_Wind,0.98
Riverside_Solar,0.98
Riverside_West_Pumped_Storage,0.98
Southern_Nevada_Geothermal,0.98
Tehachapi_Pumped_Storage,0.98
Tierra_Buena,0.98
WillowSpringsSolar,0.98
Wyoming_Wind,0.98
