Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_MW,Max_Demand_Curtailment,$/MWh,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Demand_MW_z1,Demand_MW_z2
5000,1,1,1,5000,1,8760,8760,1,84,0
,,,,,,,,2,81,0
,,,,,,,,3,78,0
,,,,,,,,4,79,0
,,,,,,,,5,82,0
,,,,,,,,6,87,0
,,,,,,,,7,105,0
,,,,,,,,8,114,0
,,,,,,,,9,112,0
,,,,,,,,10,107,0
,,,,,,,,11,93,0
,,,,,,,,12,79,0
,,,,,,,,13,76,0
,,,,,,,,14,76,0
,,,,,,,,15,77,0
,,,,,,,,16,88,0
,,,,,,,,17,98,0
,,,,,,,,18,108,0
,,,,,,,,19,101,0
,,,,,,,,20,101,0
,,,,,,,,21,99,0
,,,,,,,,22,103,0
,,,,,,,,23,95,0
,,,,,,,,24,87,0
,,,,,,,,25,82,0
,,,,,,,,26,75,0
,,,,,,,,27,72,0
,,,,,,,,28,70,0
,,,,,,,,29,72,0
,,,,,,,,30,78,0
,,,,,,,,31,94,0
,,,,,,,,32,105,0
,,,,,,,,33,106,0
,,,,,,,,34,107,0
,,,,,,,,35,102,0
,,,,,,,,36,104,0
,,,,,,,,37,103,0
,,,,,,,,38,104,0
,,,,,,,,39,105,0
,,,,,,,,40,103,0
,,,,,,,,41,106,0
,,,,,,,,42,109,0
,,,,,,,,43,105,0
,,,,,,,,44,106,0
,,,,,,,,45,102,0
,,,,,,,,46,102,0
,,,,,,,,47,92,0
,,,,,,,,48,86,0
,,,,,,,,49,78,0
,,,,,,,,50,72,0
,,,,,,,,51,72,0
,,,,,,,,52,70,0
,,,,,,,,53,73,0
,,,,,,,,54,80,0
,,,,,,,,55,97,0
,,,,,,,,56,108,0
,,,,,,,,57,102,0
,,,,,,,,58,89,0
,,,,,,,,59,83,0
,,,,,,,,60,70,0
,,,,,,,,61,66,0
,,,,,,,,62,65,0
,,,,,,,,63,71,0
,,,,,,,,64,80,0
,,,,,,,,65,88,0
,,,,,,,,66,99,0
,,,,,,,,67,103,0
,,,,,,,,68,99,0
,,,,,,,,69,101,0
,,,,,,,,70,103,0
,,,,,,,,71,95,0
,,,,,,,,72,88,0
,,,,,,,,73,73,0
,,,,,,,,74,68,0
,,,,,,,,75,66,0
,,,,,,,,76,65,0
,,,,,,,,77,65,0
,,,,,,,,78,75,0
,,,,,,,,79,90,0
,,,,,,,,80,98,0
,,,,,,,,81,96,0
,,,,,,,,82,86,0
,,,,,,,,83,77,0
,,,,,,,,84,68,0
,,,,,,,,85,74,0
,,,,,,,,86,69,0
,,,,,,,,87,71,0
,,,,,,,,88,80,0
,,,,,,,,89,90,0
,,,,,,,,90,100,0
,,,,,,,,91,98,0
,,,,,,,,92,97,0
,,,,,,,,93,94,0
,,,,,,,,94,96,0
,,,,,,,,95,88,0
,,,,,,,,96,82,0
,,,,,,,,97,82,0
,,,,,,,,98,79,0
,,,,,,,,99,77,0
,,,,,,,,100,75,0
,,,,,,,,101,80,0
,,,,,,,,102,87,0
,,,,,,,,103,102,0
,,,,,,,,104,114,0
,,,,,,,,105,108,0
,,,,,,,,106,98,0
,,,,,,,,107,84,0
,,,,,,,,108,72,0
,,,,,,,,109,65,0
,,,,,,,,110,68,0
,,,,,,,,111,69,0
,,,,,,,,112,76,0
,,,,,,,,113,88,0
,,,,,,,,114,102,0
,,,,,,,,115,98,0
,,,,,,,,116,98,0
,,,,,,,,117,103,0
,,,,,,,,118,102,0
,,,,,,,,119,94,0
,,,,,,,,120,87,0
,,,,,,,,121,79,0
,,,,,,,,122,78,0
,,,,,,,,123,76,0
,,,,,,,,124,77,0
,,,,,,,,125,76,0
,,,,,,,,126,77,0
,,,,,,,,127,87,0
,,,,,,,,128,88,0
,,,,,,,,129,90,0
,,,,,,,,130,88,0
,,,,,,,,131,91,0
,,,,,,,,132,88,0
,,,,,,,,133,91,0
,,,,,,,,134,86,0
,,,,,,,,135,90,0
,,,,,,,,136,92,0
,,,,,,,,137,94,0
,,,,,,,,138,100,0
,,,,,,,,139,95,0
,,,,,,,,140,92,0
