Time_Index,Aquamarine_Westside,Arizona_Li_Battery,Arizona_Solar,CAISO_Advanced_CCGT_candidate,CAISO_Aero_CT_candidate,CAISO_New_Flow_Battery,CAISO_New_Flow_Battery_12,CAISO_New_Flow_Battery_8,CAISO_New_LDES_Battery_12,CAISO_Reciprocating_Engine_candidate,CAISO_Shed_DR_Tranche1,CAM_CAM_RA_i,CAM_CAM_RA_ii,CAM_CAM_RA_iii,CAM_CPE_RA_i,CAM_CPE_RA_ii,CAM_DR_RA,CC_Power_GoalLine,CC_Power_Tumbleweed,FishLake,Generic_4hr_battery_low_cost,Generic_6hr_battery,Generic_6hr_battery_low_cost,Generic_8hr_battery,Generic_8hr_battery_low_cost,Generic_RA_Only,GibsonSolar,Greater_Imperial_Geothermal,Humboldt_Bay_Offshore_Wind,IndianValley_Hydro,InState_Biomass,Leapfrog_Power,Morro_Bay_Offshore_Wind,New_Mexico_Wind,Northern_California_Geothermal,Northern_California_Li_Battery,Northern_California_Solar,Northern_California_Wind,NW_Ext_Tx_Wind,Ormat_Portfolio,PutahCreek,Resurgence_Hybrid,Riverside_Li_Battery,Riverside_Palm_Springs_Wind,Riverside_Solar,Riverside_West_Pumped_Storage,Southern_Nevada_Geothermal,Tehachapi_Pumped_Storage,Tierra_Buena,WillowSpringsSolar,Wyoming_Wind
1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0.31,0.023,1,1,1,0.037,1,1,0,0.103,0.03,1,0,0,1,0.034,0,1,1,1,1,0,0.343
2,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0.56,0.023,1,1,1,0.029,1,1,0,0.145,0.047,1,0,0,1,0.033,0,1,1,1,1,0,0.402
3,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0.82,0.023,1,1,1,0.035,1,1,0,0.227,0.067,1,0,0,1,0.026,0,1,1,1,1,0,0.407
4,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0.023,1,1,1,0.048,1,1,0,0.324,0.08,1,0,0,1,0.103,0,1,1,1,1,0,0.405
5,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0.023,1,1,1,0.083,1,1,0,0.399,0.093,1,0,0,1,0.281,0,1,1,1,1,0,0.399
6,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0.023,1,1,1,0.105,1,1,0,0.44,0.12,1,0,0,1,0.401,0,1,1,1,1,0,0.365
7,0,1,0.029,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0.023,1,1,1,0.133,1,1,0,0.473,0.165,1,0,0,1,0.453,0.004,1,1,1,1,0,0.335
8,0.013,1,0.472,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0.023,1,1,1,0.153,1,1,0.075,0.473,0.224,1,0,0.143,1,0.457,0.398,1,1,1,1,0.132,0.289
9,0.175,1,0.717,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0.023,1,1,0.92,0.108,1,1,0.469,0.443,0.29,1,0.042,0.583,1,0.48,0.668,1,1,1,1,0.607,0.266
10,0.26,1,0.882,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0.023,1,1,0.86,0.087,1,1,0.699,0.413,0.316,1,0.037,0.641,1,0.449,0.801,1,1,1,1,0.756,0.235
11,0.303,1,0.96,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0.023,1,1,0.82,0.102,1,1,0.73,0.351,0.332,1,0.012,0.616,1,0.565,0.9,1,1,1,1,0.724,0.259
12,0.328,1,0.987,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0.023,1,1,0.82,0.134,1,1,0.712,0.318,0.351,1,0.036,0.561,1,0.752,0.943,1,1,1,1,0.695,0.304
