Region,Resource,Zone,Cluster,AnnualSum
CCA,CAISO_Advanced_CCGT_candidate,1,1,0.0
CCA,CAISO_Aero_CT_candidate,1,1,0.0
CCA,CAISO_Reciprocating_Engine_candidate,1,1,0.0
CCA,CAISO_Shed_DR_Tranche1,1,1,0.0
CCA,CAM_CAM_RA_i,1,1,0.0
CCA,CAM_CAM_RA_ii,1,1,0.0
CCA,CAM_CAM_RA_iii,1,1,0.0
CCA,CAM_CPE_RA_i,1,1,0.0
CCA,CAM_CPE_RA_ii,1,1,0.0
CCA,CAM_DR_RA,1,1,0.0
CCA,FishLake,1,1,0.0
CCA,Generic_RA_Only,1,1,0.0
CCA,Greater_Imperial_Geothermal,1,1,0.0
CCA,InState_Biomass,1,1,0.0
CCA,Leapfrog_Power,1,1,0.0
CCA,Northern_California_Geothermal,1,1,0.0
CCA,Ormat_Portfolio,1,1,0.0
CCA,Southern_Nevada_Geothermal,1,1,0.0
CCA,Tierra_Buena,1,1,0.0
CCA,Aquamarine_Westside,1,1,0.0
CCA,Arizona_Solar,1,1,0.0
CCA,Humboldt_Bay_Offshore_Wind,1,1,0.0
CCA,IndianValley_Hydro,1,1,0.0
CCA,Morro_Bay_Offshore_Wind,1,1,0.0
CCA,NW_Ext_Tx_Wind,1,1,0.0
CCA,New_Mexico_Wind,1,1,0.0
CCA,Northern_California_Solar,1,1,0.0
CCA,Northern_California_Wind,1,1,0.0
CCA,Riverside_Palm_Springs_Wind,1,1,0.0
CCA,Riverside_Solar,1,1,0.0
CCA,Wyoming_Wind,1,1,0.0
CCA,Arizona_Li_Battery,1,1,393919.1972241386
CCA,CAISO_New_Flow_Battery,1,2,217730.80307647324
CCA,CAISO_New_Flow_Battery_12,1,3,200732.2617643414
CCA,CAISO_New_Flow_Battery_8,1,4,229781.41841717943
CCA,CAISO_New_LDES_Battery_12,1,5,-144123.20890618186
CCA,CC_Power_GoalLine,1,6,0.0
CCA,CC_Power_Tumbleweed,1,7,0.0
CCA,Generic_4hr_battery_low_cost,1,8,-61485.60305009448
CCA,Generic_6hr_battery,1,9,448322.30230004835
CCA,Generic_6hr_battery_low_cost,1,10,425062.920046607
CCA,Generic_8hr_battery,1,11,459547.9431090036
CCA,Generic_8hr_battery_low_cost,1,12,457731.17410012503
CCA,Northern_California_Li_Battery,1,13,393919.1972241386
CCA,Riverside_Li_Battery,1,14,393919.1972241386
CCA,Riverside_West_Pumped_Storage,1,15,327901.7089402622
CCA,Tehachapi_Pumped_Storage,1,16,327901.7089402622
CCA,GibsonSolar,1,1,0.0
CCA,PutahCreek,1,1,75925.47757849003
CCA,Resurgence_Hybrid,1,1,1.7826288199162798e6
CCA,WillowSpringsSolar,1,1,1.461117437354146e6
