region,Resource,zone,Cluster,R_ID,ESR_1,Total
CCA,CAISO_Advanced_CCGT_candidate,1,1,1,0.0,0.0
CCA,CAISO_Aero_CT_candidate,1,1,2,0.0,0.0
CCA,CAISO_Reciprocating_Engine_candidate,1,1,3,0.0,0.0
CCA,CAISO_Shed_DR_Tranche1,1,1,4,0.0,0.0
CCA,CAM_CAM_RA_i,1,1,5,0.0,0.0
CCA,CAM_CAM_RA_ii,1,1,6,0.0,0.0
CCA,CAM_CAM_RA_iii,1,1,7,0.0,0.0
CCA,CAM_CPE_RA_i,1,1,8,0.0,0.0
CCA,CAM_CPE_RA_ii,1,1,9,0.0,0.0
CCA,CAM_DR_RA,1,1,10,0.0,0.0
CCA,Generic_RA_Only,1,1,11,0.0,0.0
CCA,Leapfrog_Power,1,1,12,0.0,0.0
CCA,Tierra_Buena,1,1,13,0.0,0.0
CCA,Aquamarine_Westside,1,1,14,0.0060674221368023145,0.0060674221368023145
CCA,Arizona_Solar,1,1,15,3.1849936660700387e-6,3.1849936660700387e-6
CCA,Humboldt_Bay_Offshore_Wind,1,1,16,0.0,0.0
CCA,Morro_Bay_Offshore_Wind,1,1,17,0.0,0.0
CCA,NW_Ext_Tx_Wind,1,1,18,3.715059571071959e-9,3.715059571071959e-9
CCA,New_Mexico_Wind,1,1,19,5.5042105737864215e-9,5.5042105737864215e-9
CCA,Northern_California_Solar,1,1,20,1.0521465986242232e-7,1.0521465986242232e-7
CCA,Northern_California_Wind,1,1,21,3.9141421528152994e-9,3.9141421528152994e-9
CCA,Riverside_Palm_Springs_Wind,1,1,22,3.567468653596375e-9,3.567468653596375e-9
CCA,Riverside_Solar,1,1,23,0.006816023194475329,0.006816023194475329
CCA,Wyoming_Wind,1,1,24,5.973835655555738e-9,5.973835655555738e-9
CCA,Arizona_Li_Battery,1,1,25,0.0,0.0
CCA,CAISO_New_Flow_Battery,1,1,26,0.0,0.0
CCA,CAISO_New_Flow_Battery_12,1,1,27,0.0,0.0
CCA,CAISO_New_Flow_Battery_8,1,1,28,0.0,0.0
CCA,CAISO_New_LDES_Battery_12,1,1,29,0.0,0.0
CCA,CC_Power_GoalLine,1,1,30,0.0,0.0
CCA,CC_Power_Tumbleweed,1,1,31,0.0,0.0
CCA,Generic_4hr_battery_low_cost,1,1,32,0.0,0.0
CCA,Generic_6hr_battery,1,1,33,0.0,0.0
CCA,Generic_6hr_battery_low_cost,1,1,34,0.0,0.0
CCA,Generic_8hr_battery,1,1,35,0.0,0.0
CCA,Generic_8hr_battery_low_cost,1,1,36,0.0,0.0
CCA,Northern_California_Li_Battery,1,1,37,0.0,0.0
CCA,Riverside_Li_Battery,1,1,38,0.0,0.0
CCA,Riverside_West_Pumped_Storage,1,1,39,0.0,0.0
CCA,Tehachapi_Pumped_Storage,1,1,40,0.0,0.0
CCA,FishLake,1,1,41,0.0001594352591675987,0.0001594352591675987
CCA,Greater_Imperial_Geothermal,1,1,42,3.4303094999581687e-12,3.4303094999581687e-12
CCA,InState_Biomass,1,1,43,1.8117239016480272e-12,1.8117239016480272e-12
CCA,Northern_California_Geothermal,1,1,44,3.431323717291276e-12,3.431323717291276e-12
CCA,Ormat_Portfolio,1,1,45,0.001833505480427529,0.001833505480427529
CCA,Southern_Nevada_Geothermal,1,1,46,3.195367744827053e-12,3.195367744827053e-12
CCA,IndianValley_Hydro,1,1,47,0.0002933539379765533,0.0002933539379765533
CCA,GibsonSolar,1,1,48,0.0,0.0
CCA,PutahCreek,1,1,49,0.0,0.0
CCA,Resurgence_Hybrid,1,1,50,0.0,0.0
CCA,WillowSpringsSolar,1,1,51,0.0,0.0
