Resource,CAISO_Advanced_CCGT_candidate,CAISO_Aero_CT_candidate,CAISO_Reciprocating_Engine_candidate,CAISO_Shed_DR_Tranche1,CAM_CAM_RA_i,CAM_CAM_RA_ii,CAM_CAM_RA_iii,CAM_CPE_RA_i,CAM_CPE_RA_ii,CAM_DR_RA,Generic_RA_Only,Leapfrog_Power,Tierra_Buena,FishLake,Greater_Imperial_Geothermal,InState_Biomass,Northern_California_Geothermal,Ormat_Portfolio,Southern_Nevada_Geothermal,IndianValley_Hydro
t1,5.75132862746525,0.0016737937101491364,208.22916755921858,0.008309471976431823,0.0,0.0,0.0,0.0,0.0,0.0,3.8801569650136595e-5,0.0,3.900263789937739e-5,3.0440000000000005,6.549280361438887e-8,3.459013762331528e-8,6.55121674463157e-8,35.006,6.100720421590195e-8,0.0
t2,18.390656698770098,0.0016596857036595242,184.2041351264124,0.008285908233196082,0.0,3.9000576913333735e-5,0.0,0.0,0.0,0.0,3.8799767708253704e-5,0.0,0.0,3.0440000000000005,6.549280361438887e-8,3.459013762331528e-8,6.55121674463157e-8,35.006,6.100720421590195e-8,0.0
t3,17.472919519827318,0.0016394185189657887,160.17851760316586,0.008254046647262793,0.0,0.0,0.0,0.0,0.0,0.0,3.8797122382938895e-5,0.0,3.8997854645241926e-5,3.0440000000000005,6.549280361438887e-8,3.459013762331528e-8,6.55121674463157e-8,35.006,6.100720421590195e-8,0.0
t4,14.715740170881178,0.0016106172497183523,136.15261664365417,0.008330645464412775,0.0,3.900079327021766e-5,0.0,0.0,0.0,0.0,3.8799982460086164e-5,0.0,0.0,3.0440000000000005,6.549280361438887e-8,3.459013762331528e-8,6.55121674463157e-8,35.006,6.100720421590195e-8,0.0
t5,11.956984190910806,0.0015673888240238581,112.12652383441673,0.008347603665965351,0.0,0.0,0.0,0.0,0.0,0.0,3.880091956631747e-5,0.0,3.9001849187832725e-5,3.0440000000000005,6.549280361438887e-8,3.459013762331528e-8,6.55121674463157e-8,35.006,6.100720421590195e-8,0.0
t6,9.197776387322877,0.0015001824646536203,88.10029373827895,0.00835276593746777,0.0,0.0,0.0,0.0,0.0,0.0,3.8801526837278206e-5,3.900258991144251e-5,0.0,3.0440000000000005,6.549280361438887e-8,3.459013762331528e-8,6.55121674463157e-8,35.006,6.100720421590195e-8,0.0
t7,6.438428104782199,0.001388508012967705,64.07396655022144,0.008390031021215159,0.0,0.0,0.0,0.0,0.0,0.0,3.8810319643518715e-5,3.9011615402557096e-5,0.0,3.0440000000000005,6.549280361438887e-8,3.459013762331528e-8,6.55121674463157e-8,35.006,6.100720421590195e-8,0.0
t8,3.679011245577953,0.0011726761486133162,40.04755583881038,0.008266264269887833,3.898641380580082e-5,0.0,0.0,0.0,0.0,0.0,3.878465183685984e-5,0.0,0.0,3.0440000000000005,6.549280361438887e-8,3.459013762331528e-8,6.55121674463157e-8,35.006,6.100720421590195e-8,0.0
t9,0.001135429422944343,0.0006607282895966752,0.00565083688555426,0.0001390355277945163,0.0,0.0,0.0,0.0,0.0,3.060115897665726e-5,3.047531027755685e-5,0.0,0.0,3.0440000000000005,6.549280361438887e-8,3.459013762331528e-8,6.55121674463157e-8,35.006,6.100720421590195e-8,0.0
t10,0.0006860915102226899,0.0005618079347892462,0.0018790309194972035,0.0001313363243950831,0.0,3.021177668714583e-5,0.0,0.0,0.0,0.0,3.0088598043239493e-5,0.0,0.0,3.0440000000000005,6.549280361438887e-8,3.459013762331528e-8,6.55121674463157e-8,35.006,6.100720421590195e-8,0.0
