G_20,G_21,G_22,G_23,G_24,G_25,G_26,G_27,G_28,G_29,G_30,G_31,G_48,G_49,G_50,G_51
0.0,0.0,2.4565326767434383e-9,0.0,2.7623417981831403e-9,1.7246948599105713e-9,1.4123421785061038e-9,0.0,2.9743312661306688e-9,3.0878398005527526e-9,3.184940446847773e-9,2.7532725113992957e-9,0.0,3.0,90.0,72.0
0.0,0.0,2.563350770399218e-9,0.0,2.616706616745332e-9,2.0328590923177355e-9,1.1913569861804794e-9,0.0,2.7904884513554743e-9,3.1849440151105454e-9,3.1849312121166066e-9,2.638157223728486e-9,0.0,3.0,90.0,72.0
0.0,0.0,2.647372344008069e-9,0.0,2.623218131911932e-9,2.2557346469715188e-9,1.3462127293383593e-9,0.0,2.7983366011046975e-9,3.0170745201328354e-9,3.1849051682061738e-9,2.6469060541802316e-9,0.0,3.0,90.0,72.0
0.0,0.0,2.61745716183625e-9,0.0,2.5676223623575264e-9,2.308014656607912e-9,1.5990155499324224e-9,0.0,2.7319800792752685e-9,3.1849442646629643e-9,3.1849303292007567e-9,2.588933885625891e-9,0.0,3.0,90.0,72.0
0.0,0.0,2.6137009909269153e-9,0.0,2.564683265838555e-9,2.370978631975041e-9,2.016114795342635e-9,0.0,2.7270552863048177e-9,3.027816678570237e-9,3.242439094211658e-9,2.583345007666615e-9,0.0,3.0,90.0,72.0
0.0,0.0,2.6627678011068587e-9,0.0,2.6102128840234005e-9,2.4937714369861695e-9,2.1812410756534757e-9,0.0,2.7827048847455304e-9,3.184943783174698e-9,3.184932851417127e-9,2.6147285561794384e-9,0.0,3.0,90.0,72.0
0.0,2.8682987346431687e-9,2.7359208917315403e-9,0.0,2.6782835536541505e-9,2.6434594754029153e-9,2.351765972360497e-9,0.0,2.8657307532741397e-9,3.042834394015692e-9,3.184937510507465e-9,2.665179988012108e-9,0.0,3.0,90.0,72.0
0.0,2.8849984837154535e-9,2.7526478879903096e-9,0.0,2.693693027615127e-9,2.722988706828218e-9,2.4312183656549098e-9,2.8555940790571266e-9,2.8849988985145415e-9,3.184942443615492e-9,3.1849393690915785e-9,2.6441508847795426e-9,0.0,3.0,90.0,72.0
0.0,2.848799378840866e-9,2.7211342435016644e-9,0.0,2.6469440729507936e-9,2.7310999427622724e-9,2.2267583656601583e-9,2.8461183507760133e-9,2.8488004807647884e-9,3.0362007202260286e-9,3.1849383640785452e-9,2.5950242377377386e-9,0.0,3.0,90.0,72.0
1.592049159171438e-9,3.1849414768658097e-9,2.679935405834553e-9,0.0,2.5947801456229097e-9,2.6994035098731334e-9,2.0698930003176683e-9,2.8010162786669375e-9,2.802041583730257e-9,3.1849433129083575e-9,3.184937862411304e-9,2.5252167427731164e-9,0.0,3.0,90.0,72.0
1.5920509355282775e-9,2.87683484954966e-9,2.7455749034130733e-9,0.0,2.6408871926799346e-9,2.7724997226360944e-9,2.202619570191461e-9,2.8758342407339874e-9,2.876820972440959e-9,3.0472441986721365e-9,3.1849325330631503e-9,2.6076254480070752e-9,0.0,3.0,90.0,72.0
1.5920527118851169e-9,3.184943712880168e-9,2.7123418121037914e-9,0.0,2.6121134106214687e-9,2.744038782475354e-9,2.342086607942317e-9,2.8377516611955556e-9,2.8387599206359984e-9,3.1849445165047692e-9,3.184931481236056e-9,2.6218245808179853e-9,0.0,3.0,90.0,72.0
1.5920527118851169e-9,3.016150190997499e-9,2.8619509452105613e-9,0.0,2.748519343353952e-9,2.9123250953720362e-9,2.481604514350692e-9,3.0151263600490928e-9,3.0161335881897997e-9,3.106291721498332e-9,3.1849376353185074e-9,2.7693116671797054e-9,0.0,3.0,90.0,72.0
1.5920527118851169e-9,3.184943360202718e-9,2.7821880697037136e-9,0.0,2.687692718580053e-9,2.8350642658183672e-9,2.4428092496416794e-9,2.918508083811953e-9,2.9193760673546263e-9,3.184944513041155e-9,3.1849332119567467e-9,2.715532604720991e-9,0.0,3.0,90.0,72.0
1.5920527118851169e-9,2.889987281175993e-9,2.7569606018302816e-9,0.0,2.656909596267273e-9,2.8152370108128667e-9,2.4338773458506576e-9,2.888831592553435e-9,2.889973751914345e-9,3.0524677368923554e-9,3.184927802346226e-9,2.696926549697377e-9,0.0,3.0,90.0,72.0
