Constraint,CapRes_1
t1,1.2558807032261055e-9
t2,1.3075434267970551e-9
t3,9.976755546448431e-10
t4,1.2201074977218437e-9
t5,9.73506947905098e-10
t6,1.3030957204532403e-9
t7,1.0807399168258234e-9
t8,1.3680398235072177e-9
t9,1.03566073079994e-9
t10,1.3233418805345671e-9
t11,1.0155457177160315e-9
t12,1.2988779307289217e-9
t13,1.206018783338503e-9
t14,1.3542573289032689e-9
t15,1.0094136881346447e-9
t16,1.1833388256776992e-9
t17,9.947380976670597e-10
t18,1.2425327205676835e-9
t19,9.254427262081769e-10
t20,1.235082138071545e-9
t21,9.296459705771609e-10
t22,1.3178595631516048e-9
t23,1.0739615552233393e-9
t24,1.393432323048335e-9
t25,1.1481884501341719e-9
t26,1.4485642378586594e-9
t27,1.1412818138283337e-9
t28,1.4107915769091404e-9
t29,1.121938768313332e-9
t30,1.3876521830804895e-9
t31,9.241261966074264e-10
t32,1.3652630821767315e-9
t33,9.691815458769836e-10
t34,1.3372025213842524e-9
t35,8.78532260979874e-10
t36,1.2012101947970469e-9
t37,9.051066465242392e-10
t38,1.333997533387526e-9
t39,9.068858700038181e-10
t40,1.282164159348315e-9
t41,9.141058698827245e-10
t42,1.2290746603073012e-9
t43,9.081631283097272e-10
t44,1.2264069470239648e-9
t45,9.223517404975601e-10
t46,1.2462575980782397e-9
t47,9.297958640010221e-10
t48,1.3443236632625208e-9
t49,1.0678531123429746e-9
t50,1.3531791163160627e-9
t51,1.1443179756141773e-9
t52,1.270585266240076e-9
t53,9.963197410615794e-10
t54,1.2160802890171804e-9
t55,9.126941577463573e-10
t56,1.3546077419819733e-9
t57,1.3498399580191582e-9
t58,1.5790986005421803e-9
t59,1.3791284350085222e-9
t60,2.0128979809687113e-9
t61,1.9404152734882045e-9
t62,2.004266861216164e-9
t63,1.95193749206989e-9
t64,2.0415685374543233e-9
t65,1.0218828307371906e-9
t66,1.19763168574578e-9
t67,8.949932916561556e-10
t68,1.197761716760473e-9
t69,9.083229656043788e-10
t70,1.366090219491023e-9
t71,9.128482562787592e-10
t72,1.3499518472969353e-9
t73,9.661377140975786e-10
t74,1.1741379462749807e-9
t75,9.938482164238221e-10
t76,1.1757428732818613e-9
t77,1.0514115011992064e-9
t78,1.1864997073278418e-9
t79,9.283943924449257e-10
t80,1.1862316633104694e-9
t81,1.0223475143692767e-9
t82,1.322291720871964e-9
t83,1.0423393747954584e-9
t84,2.011317430152513e-9
t85,1.9584187133686196e-9
t86,2.0135747284922957e-9
t87,1.2406186936157741e-9
t88,2.0412208318353867e-9
t89,9.184432956424549e-10
t90,1.2266643871526554e-9
t91,9.069982336352617e-10
t92,1.1960879994902854e-9
t93,9.131803840507574e-10
t94,1.1952757481134059e-9
t95,9.274146779469182e-10
t96,1.341667558783425e-9
t97,9.415605879908481e-10
t98,1.18107066730884e-9
t99,9.552044863191971e-10
t100,1.2019349495018306e-9
t101,1.0237037513609793e-9
t102,1.2132726964180256e-9
t103,8.976646362230521e-10
t104,1.225786004838936e-9
t105,2.0410443705122287e-9
t106,2.087289827364687e-9
t107,1.9820176171447958e-9
t108,2.020597884539534e-9
t109,1.8760931501484426e-9
t110,2.010660831579464e-9
t111,1.947151694518915e-9
t112,2.0314777814868072e-9
t113,1.010296950091364e-9
t114,1.211597794906243e-9
t115,9.127604653156403e-10
t116,1.209181333276674e-9
t117,9.026821476304595e-10
t118,1.2381878945331147e-9
t119,9.225880131745016e-10
t120,1.4124288512385227e-9
t121,1.104310808866531e-9
t122,1.2175929887053521e-9
t123,9.906314393332105e-10
t124,1.193799762132179e-9
t125,9.674461995805628e-10
t126,1.1944959271446836e-9
t127,9.397853460929583e-10
t128,1.1835302089645136e-9
t129,9.144687810296692e-10
t130,1.160289568542482e-9
t131,9.210214782450615e-10
t132,1.1841174184612333e-9
t133,9.099809110024979e-10
t134,1.1599712797368244e-9
t135,9.19072917996238e-10
t136,1.1704644553026544e-9
t137,9.176773903273428e-10
t138,1.2190839628290282e-9
t139,9.225809788393186e-10
t140,1.2055478028561556e-9
t141,9.239691742731687e-10
t142,1.2005199189498592e-9
t143,9.446435073477803e-10
t144,1.1922002641273852e-9
t145,1.0224386426951734e-9
t146,1.2079200144868168e-9
t147,1.0195684563587846e-9
t148,1.1998351324258092e-9
t149,1.0143368392389333e-9
t150,1.1832314980997847e-9
t151,9.630798223869339e-10
t152,1.1731936821464074e-9
t153,9.823064225005207e-10
t154,1.1673682024795768e-9
t155,1.0685120962830986e-9
t156,1.2302879620090948e-9
t157,1.0512339719695218e-9
t158,1.2877441191808983e-9
t159,1.023917101926242e-9
t160,1.1902067442609944e-9
t161,9.44845304173336e-10
t162,1.2304986108131248e-9
t163,9.32255688071681e-10
t164,1.226299496514972e-9
t165,9.408817910606423e-10
t166,1.2256186496188587e-9
t167,9.628086502728047e-10
t168,1.1882419237623037e-9
t169,1.0935328024197834e-9
t170,1.4041963845716363e-9
t171,9.90908321414276e-10
t172,1.205644023217747e-9
t173,1.0574312139075565e-9
t174,1.4265317308596145e-9
t175,9.249473079835548e-10
t176,1.3587123108143412e-9
t177,1.0971180445551908e-9
t178,1.3890661966768117e-9
t179,1.0857712916339849e-9
t180,1.452975545495996e-9
t181,1.3108713893708541e-9
t182,1.559676619327427e-9
t183,1.89554148176186e-9
t184,2.050751338518999e-9
t185,9.36880392234033e-10
t186,1.2373950797189452e-9
t187,9.306808250913893e-10
t188,1.23388850112855e-9
t189,9.286645912698321e-10
t190,1.2361902382854892e-9
t191,1.071317427642056e-9
t192,1.3740940004612866e-9
t193,1.0639737805037676e-9
t194,1.3462722207544556e-9
t195,1.0995878517136722e-9
t196,1.3800998713130657e-9
t197,1.062609627164214e-9
t198,1.3615708644849048e-9
t199,9.142491624350945e-10
t200,1.224566328177028e-9
t201,8.816901153698008e-10
t202,1.1910415898745402e-9
t203,9.081060329916225e-10
t204,1.1888090177014596e-9
t205,9.496960029688084e-10
t206,1.2007945061336707e-9
t207,9.720650725451008e-10
t208,1.1822732266634365e-9
t209,9.526910887967753e-10
t210,1.2456680024726872e-9
t211,9.432365873540724e-10
t212,1.239203649664744e-9
t213,9.298502720933927e-10
t214,1.2379196101443607e-9
t215,1.0736492052183961e-9
t216,1.385626372428051e-9
t217,1.0694492187939178e-9
t218,1.4191816830353923e-9
t219,1.0795267399789675e-9
t220,1.4156025867005791e-9
t221,1.0648900392810525e-9
t222,1.361471660502768e-9
t223,1.0800074634144704e-9
t224,1.3806581875149876e-9
t225,1.2672182439699257e-9
t226,1.6170781741833835e-9
t227,1.4293816665228018e-9
t228,1.6077135557763636e-9
t229,1.89293256097628e-9
t230,1.5932184010309302e-9
t231,1.4150258082883606e-9
t232,2.066023848105316e-9
t233,9.948668829842855e-10
t234,1.239345666661392e-9
t235,9.209855697951291e-10
t236,1.2352986557135365e-9
t237,1.0784256464025438e-9
t238,1.3798943127822636e-9
t239,1.3064883710336359e-9
t240,1.5320887596926314e-9
t241,1.2873093448992807e-9
t242,1.516332518491867e-9
t243,1.0592979641327532e-9
t244,1.288365721270491e-9
t245,9.834014857050944e-10
t246,1.2189778721021096e-9
t247,9.136742519807345e-10
t248,1.2281779404854817e-9
t249,8.819093172596295e-10
t250,1.3142702391344108e-9
t251,1.0143085118720737e-9
t252,1.30662112485722e-9
t253,1.209370995071676e-9
t254,1.4582633887442553e-9
t255,1.2156601063635023e-9
t256,2.0585049059388795e-9
t257,1.0618256731135241e-9
t258,1.2351503696487134e-9
t259,9.124582052998925e-10
t260,1.2302600746714495e-9
t261,9.11295430182634e-10
t262,1.3688765477706242e-9
t263,1.2975084291228463e-9
t264,1.5220678058380429e-9
t265,1.2810971212051445e-9
t266,1.3360001350263933e-9
t267,1.051045322694641e-9
t268,1.3354133632247747e-9
t269,1.0544760956328301e-9
t270,1.3467898890990388e-9
t271,9.10312814896421e-10
t272,1.3611207374617265e-9
t273,1.0313574669858177e-9
t274,1.314703574084626e-9
t275,1.0109823048520012e-9
t276,1.2858153145789884e-9
t277,1.0548460082643287e-9
t278,1.3034523607099657e-9
t279,1.2107826896735213e-9
t280,2.0384404213608536e-9
t281,1.0640854108898476e-9
t282,1.2237184720970823e-9
t283,9.318085213764818e-10
t284,1.2236401314319312e-9
t285,9.197657923288761e-10
t286,1.3669919805993573e-9
t287,1.0660029502109868e-9
t288,1.397119362739795e-9
t289,1.0565635694813459e-9
t290,1.3421390487404372e-9
t291,1.1514296088078714e-9
t292,1.4692985934281655e-9
t293,1.0033337463518436e-9
t294,1.2876402262373222e-9
t295,9.511291671277566e-10
t296,1.21314971315227e-9
t297,9.110570070397231e-10
t298,1.186355012276318e-9
t299,9.81359758395734e-10
t300,1.2252413822720918e-9
t301,9.981257506234914e-10
t302,1.2459032315040062e-9
t303,1.0110040745461562e-9
t304,1.5998477546300367e-9
t305,9.727635507872567e-10
t306,1.2407793632137584e-9
t307,9.453820013278372e-10
t308,1.2374209583978905e-9
t309,9.382204226437002e-10
t310,1.3756051648792989e-9
t311,1.0745321396298495e-9
t312,1.3771241583833547e-9
t313,1.1507024335722486e-9
t314,1.4854616420507944e-9
t315,1.179821521383561e-9
t316,1.4137122812943004e-9
t317,1.121883688657875e-9
t318,1.3816555359874082e-9
t319,9.699384097033288e-10
t320,1.2022056133748895e-9
t321,9.26040317384519e-10
t322,1.145031467238565e-9
t323,9.619828296947817e-10
t324,1.1527587989973118e-9
t325,9.691124564319653e-10
t326,1.222435046063931e-9
t327,9.90167930804274e-10
t328,1.173302019394571e-9
t329,9.432492076498093e-10
t330,1.1967995368144663e-9
t331,9.264750846599156e-10
t332,1.196419873592358e-9
t333,9.318605514397555e-10
t334,1.219815339569305e-9
t335,9.915698838481499e-10
t336,1.1849178746591931e-9
t337,1.1023223654207478e-9
t338,1.4120459480821074e-9
t339,1.1390232719984059e-9
t340,1.3815341914522309e-9
t341,1.1002488839292216e-9
t342,1.358351538819867e-9
t343,9.243732627563364e-10
t344,1.2241722152883154e-9
t345,8.803325213533454e-10
t346,1.1631998263430936e-9
t347,9.416373299681403e-10
t348,1.1721445816635007e-9
t349,9.962708517827611e-10
t350,1.2330573667664351e-9
t351,9.84840466666744e-10
t352,1.1559087708409535e-9
t353,9.395272423637382e-10
t354,1.2163775909309673e-9
t355,9.462657912347041e-10
t356,1.2395070957247593e-9
t357,9.459498300778973e-10
t358,1.2402144809897722e-9
t359,1.078415448948182e-9
t360,1.4350919269348586e-9
t361,1.1730462789954636e-9
t362,1.3906130212268631e-9
t363,1.1472182700696693e-9
t364,1.4202466755641679e-9
t365,1.1068800447412233e-9
t366,1.3671905095072048e-9
t367,9.27905084751992e-10
t368,1.229110391369936e-9
t369,8.711925315617978e-10
t370,1.1734073650293227e-9
