Resource,Zone,AnnualSum,Capacity,CapacityFactor
CAISO_Advanced_CCGT_candidate,1,3.070736523646e-5,1.288229113290992e-7,0.0
CAISO_Aero_CT_candidate,1,1.6476234625484195e-5,1.0700406814297268e-7,0.0
CAISO_Reciprocating_Engine_candidate,1,2.885769810382826e-5,1.2371207796250215e-7,0.0
CAISO_Shed_DR_Tranche1,1,2.8103829168272178e-5,1.308510565770343e-7,0.0
CAM_CAM_RA_i,1,0.0,0.0,0.0
CAM_CAM_RA_ii,1,0.0,0.0,0.0
CAM_CAM_RA_iii,1,0.0,0.0,0.0
CAM_CPE_RA_i,1,0.0,0.0,0.0
CAM_CPE_RA_ii,1,0.0,0.0,0.0
CAM_DR_RA,1,0.0,0.0,0.0
FishLake,1,0.0,0.0,0.0
Generic_RA_Only,1,5.031384916994046e-6,7.709415544124012e-8,0.0
Greater_Imperial_Geothermal,1,0.002663508161515122,3.148608624833995e-7,0.0
InState_Biomass,1,0.0004977953272695745,6.642210640395729e-8,0.0
Leapfrog_Power,1,0.0,0.0,0.0
Northern_California_Geothermal,1,0.002688704643199928,3.1774020381666595e-7,0.0
Ormat_Portfolio,1,0.0,0.0,0.0
Southern_Nevada_Geothermal,1,0.006129791916719896,7.107387337086966e-7,0.0
Tierra_Buena,1,2.064920382670547e-6,10.0,0.0
Aquamarine_Westside,1,133230.43661206527,50.0,0.3041790790229801
Arizona_Solar,1,19735.02918821342,6.765899874276229,0.3329722956486062
Humboldt_Bay_Offshore_Wind,1,0.00030864329711577707,6.839768831210767e-8,0.0
IndianValley_Hydro,1,6447.207500000114,2.9,0.2537871004566255
Morro_Bay_Offshore_Wind,1,0.00018033932583038945,4.894959655240212e-8,0.0
NW_Ext_Tx_Wind,1,0.000636914234366509,2.5408674300804465e-7,0.0
New_Mexico_Wind,1,0.00048642459123055253,1.4404460248692973e-7,0.0
Northern_California_Solar,1,0.009606043530338886,3.6223114161862638e-6,0.0
Northern_California_Wind,1,15918.885196789208,6.195787047341601,0.29329999944280255
Riverside_Palm_Springs_Wind,1,87570.23433292015,9.99999999092732,0.9996602101868701
Riverside_Solar,1,1.6113444931086635e6,184.00061490124122,0.9996892422620717
Wyoming_Wind,1,0.000491245659575277,1.3741355793297256e-7,0.0
Arizona_Li_Battery,1,57999.19141134054,16.282289884016375,0.0
CAISO_New_Flow_Battery,1,32508.92899732542,10.007157384523031,0.0
CAISO_New_Flow_Battery_12,1,32623.38729253032,10.000000042800725,0.0
CAISO_New_Flow_Battery_8,1,32749.517249480512,10.000000099717232,0.0
CAISO_New_LDES_Battery_12,1,12102.373160536823,5.069219978123728,0.0
CC_Power_GoalLine,1,0.0,0.0,0.0
CC_Power_Tumbleweed,1,0.0,0.0,0.0
Generic_4hr_battery_low_cost,1,58096.71180307186,23.3226462294868,0.0
Generic_6hr_battery,1,53462.109276153074,14.801862349534286,0.0
Generic_6hr_battery_low_cost,1,54257.730613520835,15.428283560383516,0.0
Generic_8hr_battery,1,46660.58609126572,11.979667517994313,0.0
Generic_8hr_battery_low_cost,1,49986.14602628833,13.149509725058282,0.0
Northern_California_Li_Battery,1,57999.19141134054,16.282289884016375,0.0
Riverside_Li_Battery,1,57999.19141134054,16.282289884016375,0.0
Riverside_West_Pumped_Storage,1,35023.85210809433,9.999999972322287,0.0
Tehachapi_Pumped_Storage,1,35023.85210809433,9.999999972322287,0.0
GibsonSolar,1,0.0,0.0,0.0
PutahCreek,1,0.0,3.0,0.0
Resurgence_Hybrid,1,0.0,90.0,0.0
WillowSpringsSolar,1,0.0,72.0,0.0
