Resource,CAISO_Advanced_CCGT_candidate,CAISO_Aero_CT_candidate,CAISO_Reciprocating_Engine_candidate,CAISO_Shed_DR_Tranche1,CAM_CAM_RA_i,CAM_CAM_RA_ii,CAM_CAM_RA_iii,CAM_CPE_RA_i,CAM_CPE_RA_ii,CAM_DR_RA,Generic_RA_Only,Leapfrog_Power,Tierra_Buena,Aquamarine_Westside,Arizona_Solar,Humboldt_Bay_Offshore_Wind,Morro_Bay_Offshore_Wind,NW_Ext_Tx_Wind,New_Mexico_Wind,Northern_California_Solar,Northern_California_Wind,Riverside_Palm_Springs_Wind,Riverside_Solar,Wyoming_Wind,Arizona_Li_Battery,CAISO_New_Flow_Battery,CAISO_New_Flow_Battery_12,CAISO_New_Flow_Battery_8,CAISO_New_LDES_Battery_12,CC_Power_GoalLine,CC_Power_Tumbleweed,Generic_4hr_battery_low_cost,Generic_6hr_battery,Generic_6hr_battery_low_cost,Generic_8hr_battery,Generic_8hr_battery_low_cost,Northern_California_Li_Battery,Riverside_Li_Battery,Riverside_West_Pumped_Storage,Tehachapi_Pumped_Storage,FishLake,Greater_Imperial_Geothermal,InState_Biomass,Northern_California_Geothermal,Ormat_Portfolio,Southern_Nevada_Geothermal,IndianValley_Hydro,GibsonSolar,PutahCreek,Resurgence_Hybrid,WillowSpringsSolar,Total
Zone,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
AnnualSum,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24477.925061160964,0.0,0.0,0.0,0.0,0.0,0.0,25.619063681197694,122.62290500846979,6843.624950376938,40.22999143726753,7921.794875531388,24477.925061160964,24477.925061160964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5956.275373690654,168108.92184455344,134942.897005266,397395.76119302824
t1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.977582828156104e-5,0.0,0.0,0.0,0.0,0.0,0.0,7.897843464746086e-5,7.912107898347685e-5,7.876589014380305e-5,7.648871277929338e-5,7.861569722914845e-5,3.977582828156104e-5,3.977582828156104e-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9713781333995125,29.283624820855298,23.65552388095829,53.911038132511734
t2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.982073466751202e-5,0.0,0.0,0.0,0.0,0.0,0.0,7.868843480899833e-5,7.912114946843642e-5,7.876559470971909e-5,7.633707483269073e-5,7.863767329465587e-5,3.982073466751202e-5,3.982073466751202e-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9713777651550373,29.283619547544948,23.655525993859165,53.91103431869027
t3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.988355301093321e-5,0.0,0.0,0.0,0.0,0.0,0.0,7.831031341002851e-5,7.912034193220373e-5,7.877141830031024e-5,7.613119756729409e-5,7.866980601858048e-5,3.988355301093321e-5,3.988355301093321e-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9713774039894862,29.28360257857476,23.655532930791328,53.91102356709184
t4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.974979550878191e-5,0.0,0.0,0.0,0.0,0.0,0.0,7.757271979395676e-5,7.880200647350894e-5,7.853357255362078e-5,7.553380160217853e-5,7.846067849914258e-5,3.974979550878191e-5,3.974979550878191e-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9713772715293498,29.28357283807588,23.65554221756197,53.91100047933265
t5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.967975121313572e-5,0.0,0.0,0.0,0.0,0.0,0.0,7.671902345514895e-5,7.850970057300795e-5,7.837060631679526e-5,7.492197984538605e-5,7.834030513400164e-5,3.967975121313572e-5,3.967975121313572e-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9713773257063574,29.283526757158775,23.65554868718732,53.91095867092142
t6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.962008328200725e-5,0.0,0.0,0.0,0.0,0.0,0.0,7.553048127407869e-5,7.8134629292137e-5,7.81980426768108e-5,7.416698009230469e-5,7.822799590449472e-5,3.962008328200725e-5,3.962008328200725e-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9713775057738011,29.283471112868398,23.655537632176113,53.91088936919739
t7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.935067698745865e-5,0.0,0.0,0.0,0.0,0.0,0.0,7.350837708491036e-5,7.727551227486342e-5,7.784775999855095e-5,7.292751218514994e-5,7.79828764763464e-5,3.935067698745865e-5,3.935067698745865e-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.971378759184291,29.283440739495482,23.655472679843296,53.910789772592054
t8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4141649912265658e-5,0.0,0.0,0.0,0.0,0.0,0.0,3.699555098144583e-5,3.847822768458165e-5,3.862259153282366e-5,7.219327545684937e-5,7.822050187470543e-5,1.4141649912265658e-5,1.4141649912265658e-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9713767788853834,23.578664612164406,19.39126179377631,43.94161011992337
