Resource,CAISO_Advanced_CCGT_candidate,CAISO_Aero_CT_candidate,CAISO_Reciprocating_Engine_candidate
Zone,1,1,1
t1,0.00301450744695748,3.212928352263015e-6,2.7508717193832335
t2,0.0030144564572326185,3.1827803188464314e-6,2.7508796526830164
t3,0.003014369571280967,3.145746366270637e-6,2.7508884613377815
t4,0.003014270117024663,3.094877116436047e-6,2.750895729805357
t5,0.0030141497686267606,3.0198746843009522e-6,2.7509003056345143
t6,0.0030139919053558248,2.90492045557832e-6,2.750901356863117
t7,0.003013756875603674,2.7225713332253778e-6,2.750897316966077
t8,0.0030132882555131586,2.4140584466538672e-6,2.7508815612590705
t9,1.7518110319467992e-6,1.7775759103720328e-6,0.0003252453385912886
t10,1.4672871844454487e-6,1.560613663072735e-6,0.00010826015963450067
t11,1.377381884333551e-6,1.4772593339560224e-6,8.465761999189273e-5
t12,1.3439831117109266e-6,1.4470524268959579e-6,7.833412877326465e-5
t13,1.3469969745755267e-6,1.4443440110133388e-6,7.915666473247368e-5
t14,1.3886367362655044e-6,1.4708463736254912e-6,8.848552716820895e-5
t15,1.4997426133527315e-6,1.5548147335632406e-6,0.00013080280162884673
t16,1.9728846698327587e-6,1.7789565293731962e-6,0.0018533455222591228
t17,0.005540094720285646,2.5088611287877447e-6,2.7509063845466777
t18,0.005540299935687588,2.8499674022142836e-6,2.7509163947184128
t19,0.005540387294012977,3.0472350270064234e-6,2.750918261627366
t20,0.005540430758598082,3.1644308245463483e-6,2.7509162548847526
t21,0.005540448295896781,3.228653179902276e-6,2.750911250407355
t22,0.005540447250167231,3.2527878345875733e-6,2.75090308616546
t23,0.005540431576254354,3.241314209428909e-6,2.7508910188214974
t24,0.0055403583738701705,3.1920739252791864e-6,2.7508746804277355
t25,0.005540255946559799,3.0949929352582353e-6,2.750856739713442
t26,0.005540148232407254,3.046659158531715e-6,2.7508537169406533
t27,0.005540037272588783,3.019365722592281e-6,2.750857735773418
t28,0.005539926898286713,3.0082314522218765e-6,2.7508663367944814
t29,0.005539819963478555,3.0110448014760603e-6,2.750878419679163
t30,0.005539688511599854,2.95186744084531e-6,2.750884390484427
t31,0.005539503400971666,2.7962393625229254e-6,2.7508823608244177
t32,0.005539143373131178,2.490819636428994e-6,2.7508664723722283
t33,1.8996458065107311e-6,1.827653636292355e-6,0.00028084299271027624
t34,1.5690529440296317e-6,1.6037463763240158e-6,0.00011172779265578761
t35,1.4714794098975531e-6,1.5163034906106156e-6,8.985454984938512e-5
t36,1.4356363400345475e-6,1.4840370008972424e-6,8.389651624878809e-5
t37,1.4386513628839245e-6,1.4815449895803145e-6,8.5300198759496e-5
t38,1.482719788495954e-6,1.5100487903927155e-6,9.603483916318407e-5
t39,1.6014161698214823e-6,1.5955344673545525e-6,0.000145328788106011
t40,2.1497476261013933e-6,1.8197743466647051e-6,2.74854327851536
t41,0.007619556124107316,2.5279381679269662e-6,2.7509051620178977
t42,0.0076197598750075155,2.862603054563783e-6,2.7509152500873717
t43,0.007619846397781257,3.0561221179277314e-6,2.7509170723462675
t44,0.007619889122948748,3.17012339753866e-6,2.7509148681705753
t45,0.007619905816126141,3.2308335379224604e-6,2.7509094914932675
t46,0.007619903749386535,3.2504882867584914e-6,2.7509007888584427
t47,0.007619887035756445,3.2328339183943262e-6,2.750888173267102
t48,0.007619812238541272,3.1746040417723448e-6,2.750871891922453
t49,0.007619724043545855,3.0979273510910364e-6,2.7508596513025445
t50,0.007619630442004438,3.0524378327294836e-6,2.7508586281964478
t51,0.007619534583797786,3.02939755279711e-6,2.7508637925234023
t52,0.007619439570513699,3.0235927797593747e-6,2.7508730467704043
t53,0.00761934759590592,3.033858628123544e-6,2.750885652442675
t54,0.007619229469801714,2.9694817198788373e-6,2.750891215855351
t55,0.007619059582639797,2.8107779063451362e-6,2.750889412519453
t56,0.00761872611988939,2.504007714680229e-6,2.750875033405812
t57,1.909882687005338e-6,1.8339783750600948e-6,0.0003254931204238607
t58,1.5574876922610504e-6,1.613547294026618e-6,0.00011657428991585757
t59,1.452396257462584e-6,1.526363739304344e-6,9.127578234968225e-5
t60,1.410113597914104e-6,1.4932176397693807e-6,8.375165879732913e-5
t61,1.4054034208314954e-6,1.4895799773887928e-6,8.318833889279355e-5
t62,1.436589635919015e-6,1.5162498301634241e-6,8.93768018769697e-5
t63,1.5207451507839288e-6,1.595222132272284e-6,0.00011077420477393606
t64,1.7542194946758947e-6,1.7955027483577768e-6,0.0002606365930654888
t65,3.14695620013257e-6,2.384411783821289e-6,2.7508672561133363
t66,3.3959162403037e-6,2.6714357061808658e-6,2.7508851785725024
t67,3.5229886368868073e-6,2.8363229146986804e-6,2.75088947775293
t68,3.59942592088262e-6,2.9324205441374384e-6,2.7508871608585
t69,3.644736411229307e-6,2.9836774338816593e-6,2.7508788302064118
t70,3.6659332004525134e-6,3.0014750293041076e-6,2.7508628298485913
t71,3.6656954318666464e-6,2.98961374288192e-6,2.7508341724191734
t72,3.64488051645531e-6,2.945711516101503e-6,2.7507784685465584
t73,3.601109627358392e-6,2.8599785880413987e-6,2.750632502085269
t74,3.543033417509316e-6,2.8045180867967033e-6,2.7505649841072835
t75,3.4723210614484335e-6,2.7663963926216688e-6,2.7505211176672653
t76,3.3878155383091092e-6,2.7363542950299787e-6,2.7504896595575086
t77,3.286221555220894e-6,2.7070226947407744e-6,2.7504662785542604
t78,3.161544367817266e-6,2.670922972929829e-6,2.7504487447411683
t79,2.9467115797164805e-6,2.5285851321102414e-6,2.750414673486657
t80,2.4925017796622684e-6,2.2209494891335335e-6,2.7502097077220475
t81,1.6234020482890288e-6,1.7534662455286643e-6,0.00012158330432992433
t82,1.4632266881499507e-6,1.5816951153396388e-6,9.19083154681278e-5
t83,1.3965430602632102e-6,1.513262112229654e-6,8.284456018997173e-5
t84,1.3726849892135161e-6,1.488392039796915e-6,8.041299303736732e-5
t85,1.3813464194605074e-6,1.4882661158870023e-6,8.290598430043183e-5
t86,1.4269052536739462e-6,1.516360694928005e-6,9.280674676883943e-5
t87,1.5382764309115423e-6,1.5995530057477459e-6,0.0001300917883951055
t88,1.9329160043016697e-6,1.814460038191494e-6,0.0008009545096890892
t89,0.004170643582861632,2.4725633228304917e-6,2.7508961868262487
t90,0.004170931628490273,2.79085273432612e-6,2.7509085558971824
t91,0.004171066000143565,2.9772543512994507e-6,2.750911272017004
t92,0.004171147376380406,3.090776523655807e-6,2.7509095374105823
t93,0.004171201251595585,3.157937177124695e-6,2.7509045768101097
t94,0.004171238596220147,3.1924947448793396e-6,2.7508968285143323
t95,0.004171265484328017,3.201051603509045e-6,2.7508868707491945
t96,0.0041712579691563275,3.185263754897922e-6,2.75087668269252
t97,0.004171221312985579,3.1544086191792024e-6,2.750871731266154
t98,0.004171184908131067,3.1014828053694072e-6,2.750871906944965
t99,0.004171150776312276,3.122217615780382e-6,2.7508828344806266
t100,0.004171107155178144,3.1124242670016387e-6,2.750892844172858
t101,0.004171047322383571,3.0623333788418957e-6,2.7508994704705803
t102,0.004170959951135117,2.960724334560155e-6,2.7509019264277885
t103,0.004170818674228937,2.7834731255307173e-6,2.7508989745922094
t104,0.004170520098274585,2.474056624808847e-6,2.7508848626197153
t105,1.997334155557137e-6,1.831088175763502e-6,0.00044647294574879395
t106,1.6114788250431262e-6,1.6146266096068053e-6,0.00012424898063051755
t107,1.5049660871447555e-6,1.5286404950939492e-6,9.439805911170961e-5
t108,1.464800116781765e-6,1.4970890030347725e-6,8.644821325604316e-5
t109,1.464276487596024e-6,1.494915440247019e-6,8.644061131526091e-5
t110,1.5038174632235655e-6,1.5244877082091395e-6,9.47436480567266e-5
t111,1.6102129423265634e-6,1.6085149762768608e-6,0.0001271887444337374
t112,2.0048093796972323e-6,1.8240972390655134e-6,0.0005582497140886196
t113,0.005020819210269703,2.476598531000827e-6,2.750890798900359
t114,0.005021114003120953,2.7926675164554092e-6,2.7509041494981905
t115,0.005021252590348467,2.9779940135599056e-6,2.75090709898458
t116,0.005021337304058586,3.0911138083711e-6,2.750905232075434
t117,0.005021394110523626,3.1584122561295263e-6,2.750899951223264
t118,0.005021434152758138,3.1935896650795236e-6,2.7508921460928284
t119,0.0050214634248598655,3.20348130099345e-6,2.7508834869954044
t120,0.0050214577658029115,3.1900844758512646e-6,2.7508777420787522
t121,0.005021431585745602,3.1508447722477412e-6,2.7508771918094284
t122,0.005021401185157581,3.158519346835683e-6,2.7508861397061946
t123,0.005021359563646866,3.1353227698104583e-6,2.7508946404722057
t124,0.0050213010123969825,3.0767409830001366e-6,2.750900465284292
t125,0.005021214561666385,2.9702946128991374e-6,2.750902512584243
t126,0.005021074235423455,2.7910899432274905e-6,2.7508993573536356
t127,0.005020776906416773,2.483039608382523e-6,2.7508853004616163
t128,1.9557079167122976e-6,1.8487003205675143e-6,0.0005416028860777185
t129,1.5072936725185661e-6,1.6271801773901066e-6,0.00012768966181230006
t130,1.376237323434326e-6,1.5320182449227226e-6,9.232567942033352e-5
t131,1.3145861889521588e-6,1.492338683135716e-6,8.149709783657744e-5
t132,1.2878378508951487e-6,1.4761880458467264e-6,7.712838243214072e-5
t133,1.2874963711584577e-6,1.4762783267079485e-6,7.645280197577117e-5
t134,1.3141215505877846e-6,1.4994294887185711e-6,7.950258990699435e-5
t135,1.3775177684431598e-6,1.56874825091384e-6,8.874294174005924e-5
t136,1.5125839147380075e-6,1.7423432201448578e-6,0.00011737204177735728
t137,1.8827264808113448e-6,2.2229523040427306e-6,1.6788949382649312
t138,2.0733501821143196e-6,2.4608746516484097e-6,1.6789635036009671
t139,2.195814980985159e-6,2.596909293079688e-6,1.6789925327031059
t140,2.2796071162086574e-6,2.6775659648600863e-6,1.6790074996593878
t141,2.3370153867712374e-6,2.725191450403596e-6,1.6790142538111708
t142,2.3741742107104793e-6,2.7518981032154706e-6,1.6790149983797948
t143,2.3943180022963696e-6,2.764313336200439e-6,1.6790108652044944
t144,2.399002170998325e-6,2.765562002028432e-6,1.6790027603271922
t145,2.388580598985002e-6,2.7560606107620355e-6,1.6789911463048663
t146,2.3623290789805957e-6,2.7338128868519414e-6,1.6789747960087043
t147,2.3181904872958864e-6,2.6934130274937815e-6,1.6789505844961392
t148,2.2522141561706385e-6,2.6253035705129667e-6,1.67891187359644
t149,2.168950478501689e-6,2.568185343342664e-6,1.6788733640084355
t150,2.045980414426539e-6,2.449621770357911e-6,1.678816582614024
