Resource,CAISO_Advanced_CCGT_candidate,CAISO_Aero_CT_candidate,CAISO_Reciprocating_Engine_candidate,CAISO_Shed_DR_Tranche1,CAM_CAM_RA_i,CAM_CAM_RA_ii,CAM_CAM_RA_iii,CAM_CPE_RA_i,CAM_CPE_RA_ii,CAM_DR_RA,Generic_RA_Only,Leapfrog_Power,Tierra_Buena,Aquamarine_Westside,Arizona_Solar,Humboldt_Bay_Offshore_Wind,Morro_Bay_Offshore_Wind,NW_Ext_Tx_Wind,New_Mexico_Wind,Northern_California_Solar,Northern_California_Wind,Riverside_Palm_Springs_Wind,Riverside_Solar,Wyoming_Wind,Arizona_Li_Battery,CAISO_New_Flow_Battery,CAISO_New_Flow_Battery_12,CAISO_New_Flow_Battery_8,CAISO_New_LDES_Battery_12,CC_Power_GoalLine,CC_Power_Tumbleweed,Generic_4hr_battery_low_cost,Generic_6hr_battery,Generic_6hr_battery_low_cost,Generic_8hr_battery,Generic_8hr_battery_low_cost,Northern_California_Li_Battery,Riverside_Li_Battery,Riverside_West_Pumped_Storage,Tehachapi_Pumped_Storage,FishLake,Greater_Imperial_Geothermal,InState_Biomass,Northern_California_Geothermal,Ormat_Portfolio,Southern_Nevada_Geothermal,IndianValley_Hydro,GibsonSolar,PutahCreek,Resurgence_Hybrid,WillowSpringsSolar,Total
Zone,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
AnnualSum,6.28731584685451e6,623.4032795367501,1.1783278769646427e7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8071218019780472e7
t1,133.5458507297431,0.03886548994966295,4835.081270725055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4968.665986944748
t2,427.0310485454416,0.03853790203897415,4277.220017635295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4704.289604082776
t3,405.7211912503903,0.03806729801038561,3719.345178745511,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4125.104437293911
t4,341.69948676786095,0.03739853253846014,3161.46375846565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3503.2006437660493
t5,277.6411729129489,0.03639476849383398,2603.5778834351563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2881.255451116599
t6,213.5723677136372,0.03483423682925706,2045.6888206028373,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2259.296022553304
t7,149.50030059304265,0.0322411560611101,1487.7975032961417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1637.3300450452455
t8,85.42664112232006,0.027229540170801203,929.904246577177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1015.3581172396679
