Aquamarine_Westside,Arizona_Solar,Humboldt_Bay_Offshore_Wind,Morro_Bay_Offshore_Wind,NW_Ext_Tx_Wind,New_Mexico_Wind,Northern_California_Solar,Northern_California_Wind,Riverside_Palm_Springs_Wind,Riverside_Solar,Wyoming_Wind,GibsonSolar,PutahCreek,Resurgence_Hybrid,WillowSpringsSolar
0.0,0.0,0.0,0.0,2.0164609218346393e-6,2.377424856852672e-6,0.0,5.116239627492366e-6,2.026101564040273e-6,0.0,1.2075104665718194e-5,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,2.7111557316063113e-6,2.0326864005640755e-6,0.0,6.660912399991184e-6,1.989271822096895e-6,0.0,1.3195903005163103e-5,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,3.504003205061357e-6,2.2917019379320083e-6,0.0,9.271546861979999e-6,1.7299636812426915e-6,0.0,1.3283483380103595e-5,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,4.0048207679646306e-6,2.8439576777515815e-6,0.0,1.1709802967265616e-5,4.441542287811837e-6,0.0,1.324779412954977e-5,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,4.494104028342809e-6,4.269085656334767e-6,0.0,1.3181966444439321e-5,9.468174848678035e-6,0.0,1.3142965630879851e-5,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,5.4729210719965745e-6,5.117661234025702e-6,0.0,1.3859992785063982e-5,1.1921192096746763e-5,0.0,1.2515415378845001e-5,0.0,0.0,0.0,0.0
0.0,2.1643295900454325e-5,0.0,0.0,6.989978962832902e-6,6.1433931018483244e-6,0.0,1.4345104168192302e-5,1.2781197177210369e-5,2.188346886479659e-5,1.1905057762343628e-5,0.0,0.0,0.0,0.0
6.522806845321583e-6,2.211519216967618e-5,0.0,0.0,8.768307436304789e-6,6.84118258531389e-6,1.8643865612735926e-5,1.4359653065793962e-5,1.285373181649705e-5,2.212901873160292e-5,1.0872523252312608e-5,0.0,0.0,1.0291566830744614e-5,1.0286922069724369e-5
4.556043717052205e-5,9.98807400227354e-5,0.0,0.0,1.2967841580868953e-5,5.656754586199783e-6,8.892824814736764e-5,2.0059556179857593e-5,1.8312536766447374e-5,0.00010016411179196,1.2672564861689012e-5,0.0,4.91703642449548e-5,5.0138404851907126e-5,5.0137931161486904e-5
5.900079847975803e-5,0.00012666012455250927,0.0,0.0,1.4170373202481093e-5,4.732964382332954e-6,0.00011502595279994153,1.917440260249299e-5,1.752002917559245e-5,0.00012702761621735423,1.144562420868438e-5,0.0,6.217344359980836e-5,6.370136517119818e-5,6.373243719082211e-5
6.341852300018047e-5,0.00013546940019633884,0.0,0.0,1.486432355316333e-5,5.41583434227253e-6,0.0001226866046825045,1.660256310944079e-5,2.166068017345718e-5,0.00013585965058304807,1.2529861674791932e-5,0.0,6.481611376187718e-5,6.813020827678429e-5,6.815848907137934e-5
6.59842394874488e-5,0.00014057548305364463,0.0,0.0,1.5663225039034285e-5,6.86032799856736e-6,0.00012638185783694488,1.5197720404734734e-5,2.8082228164764907e-5,0.00014098698775444733,1.4518979312473163e-5,0.0,6.887543517518357e-5,7.068826587897092e-5,7.072109760741796e-5
6.880841088729994e-5,0.00014618064615327535,0.0,0.0,1.699270819876286e-5,7.537926938909298e-6,0.00013211347826283957,1.5702941777777623e-5,3.1815127024194887e-5,0.00014662674356748985,1.5500466844853567e-5,0.0,7.242388071682093e-5,7.351252982346068e-5,7.354437796891489e-5
6.981523664251199e-5,0.00014814040515699959,0.0,0.0,1.8459680596090042e-5,7.629400493694365e-6,0.00013370593851355856,1.5449145645284977e-5,3.208562398679726e-5,0.00014861625555020588,1.646430690308977e-5,0.0,7.271517438406372e-5,7.452176946287636e-5,7.456669382577275e-5
6.423092098728489e-5,0.00013696087994691293,0.0,0.0,1.9856774467733635e-5,7.707339302515855e-6,0.00012334231777832506,1.544256067944124e-5,3.0315823140722982e-5,0.00013742497429989698,1.6707454557600115e-5,0.0,6.730285052275464e-5,6.891547491250094e-5,6.898407944788687e-5
5.402479616734013e-5,0.0001165205825175916,0.0,0.0,2.0960286694710038e-5,8.695891647487587e-6,0.00010237962436477836,1.7065803906066058e-5,2.6842358020109783e-5,0.00011701351053785796,1.844874980131707e-5,0.0,5.6805901899950606e-5,5.863869991173942e-5,5.864701953584017e-5
6.0947244544529156e-6,2.1082656364295223e-5,0.0,0.0,1.4199016381437238e-5,7.288652322405758e-6,1.9726276608787755e-5,1.3156091739728192e-5,1.465839507717208e-5,2.1198662545215742e-5,1.3134191772742988e-5,0.0,0.0,9.815644899546783e-6,9.811324077624306e-6
