CAISO_Advanced_CCGT_candidate,CAISO_Aero_CT_candidate,CAISO_Reciprocating_Engine_candidate,CAISO_Shed_DR_Tranche1,CAM_CAM_RA_i,CAM_CAM_RA_ii,CAM_CAM_RA_iii,CAM_CPE_RA_i,CAM_CPE_RA_ii,CAM_DR_RA,FishLake,Generic_RA_Only,Greater_Imperial_Geothermal,InState_Biomass,Leapfrog_Power,Northern_California_Geothermal,Ormat_Portfolio,Southern_Nevada_Geothermal,Tierra_Buena,Aquamarine_Westside,Arizona_Solar,Humboldt_Bay_Offshore_Wind,IndianValley_Hydro,Morro_Bay_Offshore_Wind,NW_Ext_Tx_Wind,New_Mexico_Wind,Northern_California_Solar,Northern_California_Wind,Riverside_Palm_Springs_Wind,Riverside_Solar,Wyoming_Wind,Arizona_Li_Battery,CAISO_New_Flow_Battery,CAISO_New_Flow_Battery_12,CAISO_New_Flow_Battery_8,CAISO_New_LDES_Battery_12,CC_Power_GoalLine,CC_Power_Tumbleweed,Generic_4hr_battery_low_cost,Generic_6hr_battery,Generic_6hr_battery_low_cost,Generic_8hr_battery,Generic_8hr_battery_low_cost,Northern_California_Li_Battery,Riverside_Li_Battery,Riverside_West_Pumped_Storage,Tehachapi_Pumped_Storage,GibsonSolar,PutahCreek,Resurgence_Hybrid,WillowSpringsSolar
0,0,0,1.82E-09,0,0,0,0,0,0,0,3.23E-10,2.83E-07,4.22E-08,0,2.86E-07,0,6.78E-07,0,0,0,1.12E-08,0.066699978,3.28E-08,3.14E-09,2.05E-09,0,0.63816604,9.999999959,9.999999977,3.13E-08,9.999999985,3.45E-08,3.45E-08,3.45E-08,1.90E-08,0,0,9.99999989,1.54E-07,2.35E-07,9.39E-08,1.17E-07,9.999999985,9.999999985,2.10E-08,2.10E-08,0,1.499999908,9.999999977,9.999999977
0,0,0,1.95E-09,0,0,0,0,0,0,0,3.25E-10,2.93E-07,4.77E-08,0,2.96E-07,0,6.89E-07,0,0,0,2.77E-08,0.066699989,3.77E-08,6.00E-09,1.59E-09,0,0.898389108,4.999999989,4.999999989,4.36E-08,4.999999995,3.57E-07,3.57E-07,3.57E-07,4.31E-08,0,0,4.999999981,4.999999969,4.999999972,4.99999996,4.999999965,4.999999995,4.999999995,4.999999827,4.999999827,0,1.500000123,4.999999989,4.999999989
0,0,0,1.95E-09,0,0,0,0,0,0,0,3.08E-10,2.93E-07,4.75E-08,0,2.96E-07,0,6.88E-07,0,0,0,4.43E-08,0.066699988,3.75E-08,9.55E-09,2.00E-09,0,1.406443645,9.999999981,9.999999988,4.41E-08,9.999999995,2.60E-07,2.60E-07,2.60E-07,4.10E-08,0,0,9.999999981,9.999999967,9.999999971,9.999999956,9.999999962,9.999999995,9.999999995,9.999997494,9.999997494,0,1.500000074,9.999999988,9.999999988
0,0,0,2.00E-09,0,0,0,0,0,0,0,3.65E-10,2.95E-07,4.88E-08,0,2.98E-07,0,6.90E-07,0,0,0,5.75E-08,0.06669999,3.87E-08,1.26E-08,3.02E-09,0,2.007434991,4.99999999,4.99999999,4.51E-08,4.999999996,4.999999898,4.999999898,4.999999898,6.99E-08,0,0,4.999999985,4.999999979,4.999999981,4.999999975,4.999999977,4.999999996,4.999999996,4.999999973,4.999999973,0,1.529999826,4.99999999,4.99999999
0,0,0,2.01E-09,0,0,0,0,0,0,0,3.75E-10,2.96E-07,4.95E-08,0,2.99E-07,0,6.91E-07,0,0,0,5.83E-08,0.066699991,3.93E-08,1.57E-08,6.31E-09,0,2.47211902,9.999999986,9.999999991,4.50E-08,9.999999995,2.271316344,2.649599359,2.113981022,7.41E-08,0,0,9.999999983,9.999999973,9.999999976,9.999999967,9.999999971,9.999999995,9.999999995,9.999999745,9.999999745,0,1.500482876,9.999999991,9.999999991
0,0,0,1.96E-09,0,0,0,0,0,0,0,3.75E-10,2.93E-07,4.79E-08,0,2.96E-07,0,6.89E-07,0,0,0,5.65E-08,0.066699989,3.78E-08,2.08E-08,8.23E-09,0,2.726146287,4.999999989,4.999999989,3.90E-08,4.999999995,5.63E-07,5.63E-07,5.63E-07,4.55E-08,0,0,4.999999982,4.999999971,4.999999974,4.999999963,4.999999967,4.999999995,4.999999995,4.999999898,4.999999898,0,1.500000225,4.999999989,4.999999989
0,0,0,1.90E-09,0,0,0,0,0,0,0,3.73E-10,2.90E-07,4.59E-08,0,2.93E-07,0,6.86E-07,0,0,0.196211079,5.43E-08,0.066699986,3.60E-08,2.96E-08,1.07E-08,0,2.930607256,9.999999975,9.999999986,3.34E-08,9.999999993,7.66E-08,7.66E-08,7.66E-08,2.86E-08,0,0,9.999999971,9.999999924,9.999999942,9.99999983,9.999999896,9.999999993,9.999999993,5.98E-08,5.98E-08,0,1.49999997,9.999999986,9.999999986
1.72E-09,9.23E-10,1.70E-09,1.88E-09,0,0,0,0,0,0,0,3.73E-10,2.89E-07,4.54E-08,0,2.92E-07,0,6.85E-07,0,0.65,3.193504723,5.37E-08,0.066699985,3.55E-08,4.29E-08,1.27E-08,2.54E-07,2.930607255,4.999999985,4.999999985,2.73E-08,4.999999992,6.34E-08,6.34E-08,6.34E-08,2.63E-08,0,0,4.999999967,4.999999883,4.999999921,4.999999194,4.999999797,4.999999992,4.999999992,4.56E-08,4.56E-08,0,1.499999959,4.999999985,4.999999985
2.01E-09,1.01E-09,2.19E-09,1.91E-09,0,0,0,0,0,0,0,3.74E-10,2.91E-07,4.64E-08,0,2.94E-07,0,6.87E-07,0,8.75,4.851150193,5.48E-08,0.066699987,3.28E-08,5.99E-08,8.22E-09,1.68E-06,2.744733646,9.999999977,9.999999986,2.52E-08,9.999999994,9.36E-08,9.36E-08,9.36E-08,3.10E-08,0,0,9.999999974,9.999999942,9.999999953,9.9999999,9.999999927,9.999999994,9.999999994,8.20E-08,8.20E-08,0,1.499999982,9.999999986,9.999999986
2.07E-09,1.02E-09,2.30E-09,1.94E-09,0,0,0,0,0,0,0,3.75E-10,2.93E-07,4.75E-08,0,2.96E-07,0,6.88E-07,0,4.999999988,4.999999988,5.61E-08,0.066699988,3.10E-08,6.76E-08,6.35E-09,2.52E-06,2.558860036,4.999999988,4.999999988,2.21E-08,4.999999995,2.31E-07,2.31E-07,2.31E-07,4.01E-08,0,0,4.99999998,4.999999966,4.99999997,4.999999954,4.999999961,4.999999995,4.999999995,1.60E-05,1.60E-05,0,1.500000059,4.999999988,4.999999988
