BalanceComponent,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,VRE_Storage_Discharge,VRE_Storage_Charge
Zone,1,1,1,1,1,1,1,1,1,1,1,1
AnnualSum,1.8742463097393066e6,616492.7689603834,-770327.7402196565,0.0,0.0,0.0,4.105790666435381e-7,0.0,0.0,-802641.0,556186.8177787788,-557456.0180967728
t1,194.7054826873204,40.00000082231959,-70.44126343242539,0.0,0.0,0.0,4.725215120175607e-11,0.0,0.0,-84.0,65.17727234629692,-63.236626313250085
t2,194.9657053791598,50.0000007932204,-93.38936981926567,0.0,0.0,0.0,4.725215046405088e-11,0.0,0.0,-81.0,63.986824588250286,-62.0980697138426
t3,195.47376006544667,99.99999582776346,-76.08207643936714,0.0,0.0,0.0,4.72521490035904e-11,0.0,0.0,-78.0,65.0206940921795,-63.43923402822554
t4,196.07475166497304,64.99999978662336,-95.41629456294267,0.0,0.0,0.0,4.725215035307672e-11,0.0,0.0,-79.0,64.01541804228394,-62.06973798112423
t5,196.53943527111613,107.03489629517412,-70.50109855660455,0.0,0.0,0.0,4.7227296655388e-11,0.0,0.0,-82.0,64.33145405327045,-64.3304881726296
t6,196.79346289954566,50.000001570860775,-87.40252443439061,0.0,0.0,0.0,4.7252150627795975e-11,0.0,0.0,-87.0,63.992679906822445,-62.090770171973325
t7,197.194134995668,80.00000011404471,-49.42549110037535,0.0,0.0,0.0,4.7252150958491314e-11,0.0,0.0,-105.0,65.1702625570841,-63.245389865645905
t8,200.84142886814794,39.999999249521274,-60.438170571341544,0.0,0.0,0.0,4.7252151355751537e-11,0.0,0.0,-114.0,64.0086814102757,-62.07112509972286
t9,210.41320271166643,80.00000035492177,-42.42952952968168,0.0,0.0,0.0,4.7252151021363587e-11,0.0,0.0,-112.0,65.17195781097703,-63.24304347807257
t10,215.59370259313428,40.00003271351989,-76.39690863416767,0.0,0.0,0.0,4.725215093701436e-11,0.0,0.0,-107.0,64.00470559380639,-62.07593272671268
t11,217.88730456141784,79.9999998711802,-66.5474281451843,0.0,0.0,0.0,4.7252150440336945e-11,0.0,0.0,-93.0,65.15792146562741,-63.26111054294614
t12,219.11552290753616,40.00000048559832,-108.47076181643988,0.0,0.0,0.0,4.7252150280328665e-11,0.0,0.0,-79.0,63.98821785024442,-62.09601445623551
t13,221.4716331188981,30.000009800360047,-87.02501852381586,0.0,0.0,0.0,4.725215074114953e-11,0.0,0.0,-76.0,65.16990644160352,-63.245501765239965
t14,222.55292981313306,29.999998433327264,-114.88250510519737,0.0,0.0,0.0,4.725215030587413e-11,0.0,0.0,-76.0,63.99061370417829,-62.09309415869076
t15,221.53632377492661,79.99997688916031,-87.2659073000146,0.0,0.0,0.0,4.725214981524384e-11,0.0,0.0,-77.0,65.14419295934067,-63.2789009445814
t16,217.14623675226207,64.99999958563599,-98.32229338740919,0.0,0.0,0.0,4.7252150193525004e-11,0.0,0.0,-88.0,64.01799147442959,-62.06631273230699
t17,199.80597580770558,99.99999889574546,-56.39331306371847,0.0,0.0,0.0,4.7252150113271113e-11,0.0,0.0,-98.0,65.15617850862883,-63.26347992489322
t18,196.91118288169065,64.99999963261817,-66.46188400855375,0.0,0.0,0.0,4.725215101821256e-11,0.0,0.0,-108.0,64.03583937379148,-62.044572083590815
t19,197.02270658189997,126.03489644883513,-51.50109893735467,0.0,0.0,0.0,4.72134846965864e-11,0.0,0.0,-101.0,64.33130210282089,-64.33033684113829
t20,197.07846956171088,64.99999998411727,-73.45707972882909,0.0,0.0,0.0,4.725215082203464e-11,0.0,0.0,-101.0,64.0336993335938,-62.04723510938914
t21,197.14042706846493,124.0348976462551,-53.50109807808511,0.0,0.0,0.0,4.720024944950597e-11,0.0,0.0,-99.0,64.33132967378084,-64.33036515744413
t22,197.1652104159777,49.99999940122552,-71.42797494897972,0.0,0.0,0.0,4.725215082366514e-11,0.0,0.0,-103.0,64.00410849268417,-62.07674871342665
t23,197.10944774304158,80.00000017126781,-59.41453951496766,0.0,0.0,0.0,4.725215046412483e-11,0.0,0.0,-95.0,65.16547344538148,-63.25154882088661
