BalanceComponent,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,VRE_Storage_Discharge,VRE_Storage_Charge,Market_Buy,Market_Sell,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,VRE_Storage_Discharge,VRE_Storage_Charge,Market_Buy,Market_Sell
Zone,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2
AnnualSum,411642.0529647401,78801.21087456433,-88387.66696951851,0.0,0.0,0.0,0.005260810071151407,-78942.53171500197,0.0,-802641.0,788536.197397192,-309008.0942235102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78942.53171500197,0.0,0.0,0.0,0.0,325038.90982867655,246096.37811367353
t1,29.0988250835277,2.698224295149113,-0.0005112972986278657,0.0,0.0,0.0,6.199179868341084e-7,49.99998987764846,-0.0,-84.0,56.114016877531036,-53.910526835213105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-49.99998987764846,-0.0,-0.0,0.0,0.0,0.0,49.99998987764846
t2,26.534860101421813,2.2621899263894303,-0.0005110121311170364,0.0,0.0,0.0,6.199179581107506e-7,49.99998976479368,-0.0,-81.0,56.11401252747213,-53.91052330655915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-49.99998976479368,-0.0,-0.0,0.0,0.0,0.0,49.99998976479368
t3,23.880522367700955,1.916528410302917,-0.0005106537362612167,0.0,0.0,0.0,6.199108971280142e-7,49.99998525219805,-0.0,-78.0,56.11400102652304,-53.910512913355575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-49.99998525219805,-0.0,-0.0,0.0,0.0,0.0,49.99998525219805
t4,21.045298668519848,5.751747273372257,-0.0005081521654487532,0.0,0.0,0.0,6.19914700162576e-7,49.999985444732886,-0.0,-79.0,56.11398258232629,-53.9104923271672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-49.999985444732886,-0.0,-0.0,0.0,0.0,0.0,49.999985444732886
t5,18.209896922745344,11.587146248745114,-0.000505900868963747,0.0,0.0,0.0,6.199108471957216e-7,49.99998546027436,-0.0,-82.0,56.11394352873879,-53.91045277005245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-49.99998546027436,-0.0,-0.0,0.0,0.0,0.0,49.99998546027436
t6,15.374430036500408,19.42261042069546,-0.0005031183790858477,0.0,0.0,0.0,6.19907568316647e-7,49.99998527081454,-0.0,-87.0,56.11387713070538,-53.91038625081831,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-49.99998527081454,-0.0,-0.0,0.0,0.0,0.0,49.99998527081454
t7,12.73949694681035,40.057538115520764,-0.000497594068982197,0.0,0.0,0.0,6.19925376709154e-7,49.99998955685682,-0.0,-105.0,56.113784283245515,-53.910292178523065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-49.99998955685682,-0.0,-0.0,0.0,0.0,0.0,49.99998955685682
t8,30.254793989800362,9.90642169639758,-0.0003069350972672029,0.0,0.0,0.0,6.198629755210325e-7,49.99998954264888,-0.0,-114.0,67.78042684283409,-43.9413031848261,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-49.99998954264888,-0.0,-0.0,0.0,0.0,0.0,49.99998954264888
t9,47.21814138963852,0.0001672715941463109,-2.5186597050553794,0.0,0.0,0.0,5.940810200606457e-7,-23.463970434707853,-0.0,-112.0,110.98892114797255,-20.22457769187603,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.463970434707853,-0.0,-0.0,0.0,0.0,23.463970434707853,0.0
t10,58.1184606455034,0.0006721440033264515,-5.056274907111364,0.0,0.0,0.0,5.9259474354306e-7,-52.23434212415042,-0.0,-107.0,121.95470621543839,-15.783204506362285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.23434212415042,-0.0,-0.0,0.0,0.0,52.23434212415042,0.0
t11,65.2177961052394,0.0010750729295342263,-25.04555675264237,0.0,0.0,0.0,5.922312362376335e-7,-48.86853694844903,-0.0,-93.0,118.76825654969542,-17.073012047102296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.86853694844903,-0.0,-0.0,0.0,0.0,48.86853694844903,0.0
t12,68.61732087604923,0.0009013242758480109,-49.988820384150785,0.0,0.0,0.0,5.920377641832192e-7,-34.58849188335876,-0.0,-79.0,114.00118391997259,-19.04207187273608,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.58849188335876,-0.0,-0.0,0.0,0.0,34.58849188335876,0.0
t13,73.56629822611863,0.0006695121542265877,-49.99410245765141,0.0,0.0,0.0,5.918401624849003e-7,-42.94968887043211,-0.0,-76.0,114.25456040667017,-18.877714836569577,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.94968887043211,-0.0,-0.0,0.0,0.0,42.94968887043211,0.0
t14,70.71729737964905,0.0006211614592529897,-49.99480868711905,0.0,0.0,0.0,5.917761442645775e-7,-44.921397179931006,-0.0,-76.0,117.71437609214922,-17.51607129765184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.921397179931006,-0.0,-0.0,0.0,0.0,44.921397179931006,0.0
t15,62.51830488508061,0.0012787348878012697,-49.98271250275103,0.0,0.0,0.0,5.921633634353372e-7,-35.24490416061672,-0.0,-77.0,117.46333761981431,-17.75528259646171,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.24490416061672,-0.0,-0.0,0.0,0.0,35.24490416061672,0.0
t16,51.219347855680354,0.0024596406883478123,-5.046088773082685,0.0,0.0,0.0,5.930581291944408e-7,-31.97786417478108,-0.0,-88.0,99.32307705805334,-25.52091413944563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.97786417478108,-0.0,-0.0,0.0,0.0,31.97786417478108,0.0
t17,21.326844821608567,14.39175653740371,-0.000483788733684744,0.0,0.0,0.0,6.213185016473716e-7,49.99999086493564,-0.0,-98.0,61.37445277150884,-49.092539256212746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-49.99999086493564,-0.0,-0.0,0.0,0.0,0.0,49.99999086493564
t18,13.641936462119718,42.154715569582834,-0.0004842264242020208,0.0,0.0,0.0,6.213427669726971e-7,49.99998502909334,-0.0,-108.0,56.11411361397953,-53.91025296050006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-49.99998502909334,-0.0,-0.0,0.0,0.0,0.0,49.99998502909334
