Resource,CAISO_Advanced_CCGT_candidate,CAISO_Aero_CT_candidate,CAISO_Reciprocating_Engine_candidate,Total
Zone,1,1,1,0
AnnualSum,7.551833236829214,0.0073250736619240525,851.8037621427217,859.3629204532128
t1,9.10266412388793e-8,4.4644137930126865e-7,1.717074050872287e-5,1.7708208529263017e-5
t2,1.0746358929633341e-7,4.4660652787233435e-7,1.376982464420775e-5,1.4323894761376419e-5
t3,1.3759992228983858e-7,4.496594618467608e-7,1.2184460935264955e-5,1.2771720319401554e-5
t4,1.4824185887048626e-7,4.56396174493799e-7,1.1410431760314993e-5,1.2015069793679278e-5
t5,1.6681216274478178e-7,4.688927841113359e-7,1.1230398505258615e-5,1.1866103452114733e-5
t6,2.016569943095365e-7,4.910824454703168e-7,1.183146274517605e-5,1.2524202184955904e-5
t7,2.7594601291187434e-7,5.32284628945608e-7,1.4128924189153897e-5,1.4937154831011379e-5
t8,5.061131442794743e-7,6.202228774388285e-7,2.315280202826909e-5,2.4279138049987392e-5
t9,0.0030115699441068534,8.888274130180871e-7,2.7505613247131575,2.7535737834846774
t10,3.24068697913429e-7,5.236004899907289e-7,0.00022361410541517183,0.00022446177460307598
t11,1.3703574420937623e-7,4.2829963327010285e-7,3.20227530427491e-5,3.258808842022858e-5
t12,9.04779197361542e-8,3.955914466764965e-7,1.6702734426836756e-5,1.7188803793249406e-5
t13,6.848289348683522e-8,3.8054028903126656e-7,1.2261852808668378e-5,1.271087599118648e-5
t14,5.489686483891782e-8,3.6690597951015907e-7,9.755731263425073e-6,1.017753410777415e-5
t15,4.519714830326288e-8,3.4444525013077486e-7,7.743179258135759e-6,8.132821656569797e-6
t16,3.7759797534827456e-8,3.046666642000817e-7,5.958952095362222e-6,6.301378557097131e-6
t17,3.147064304866585e-8,2.456486859049579e-7,4.478702490057632e-6,4.755821819011255e-6
t18,3.813853711603229e-8,3.0758773551206255e-7,6.580516526782791e-6,6.926242799410886e-6
t19,4.555642338521152e-8,3.482628838639088e-7,8.901810143414104e-6,9.295629450663225e-6
t20,5.374503324949165e-8,3.781830030461674e-7,1.1421649841675496e-5,1.1853577877971154e-5
t21,6.297413886252119e-8,4.0117263967104706e-7,1.424392427257433e-5,1.4708071051107898e-5
t22,7.268868432774819e-8,4.200865768767686e-7,1.7727155434078665e-5,1.8219930695283183e-5
t23,8.228501072567442e-8,4.377448146882711e-7,2.2262064145921096e-5,2.2782093971335043e-5
