Resource,CAISO_Advanced_CCGT_candidate,CAISO_Aero_CT_candidate,CAISO_Reciprocating_Engine_candidate,Total
Zone,1,1,1,0
AnnualSum,7.551833236829215,0.007325073661924034,851.8037621427366,859.3629204532277
t1,6.202003730268247e-8,4.1765688324710727e-7,1.9749482241880455e-5,2.0229159162430244e-5
t2,5.647386444078583e-8,4.1645849445575164e-7,2.170312442539079e-5,2.2176056784287327e-5
t3,5.0713970636545806e-8,4.1262550927096533e-7,2.0993115703118487e-5,2.1456455183026e-5
t4,4.878760256450873e-8,4.0552692465920987e-7,1.8678899342514027e-5,1.9133213869737747e-5
t5,4.6463764826093885e-8,3.9389035197624204e-7,1.5806227658074793e-5,1.6246581774877127e-5
t6,4.379372337434955e-8,3.761282167476858e-7,1.28826913494576e-5,1.3302613289579635e-5
t7,4.0916260750709695e-8,3.499355065926638e-7,1.0089027163125371e-5,1.0479878930468744e-5
t8,3.74930537692332e-8,3.1170999086731864e-7,7.397094989827987e-6,7.74629803446454e-6
t9,3.3499625634753195e-8,2.5234487673625136e-7,5.008792656293797e-6,5.294637158664801e-6
t10,3.954485041208709e-8,3.0663824269143244e-7,6.628926458383871e-6,6.975109551487391e-6
t11,4.713044409747523e-8,3.4494530415338876e-7,8.420213400141137e-6,8.812289148392002e-6
t12,5.7079147113534644e-8,3.653845396164314e-7,1.0379243208208662e-5,1.0801706894938629e-5
t13,7.149675635143608e-8,3.7783187314864836e-7,1.3084388767877402e-5,1.3533717397377486e-5
t14,9.653662652888578e-8,3.93408342122313e-7,1.908459369916035e-5,1.9574538667811547e-5
t15,1.563030253904911e-7,4.2841361006852457e-7,5.006045371877355e-5,5.0645170354232565e-5
t16,5.109018540148684e-7,5.288084600100369e-7,0.0017285016727256366,0.0017295413830396614
t17,0.005538153306258886,9.755532853195068e-7,2.7490575177279286,2.7545966465874727
t18,2.4335393889160563e-7,6.486940089386e-7,1.659068572367501e-5,1.7482733671505215e-5
t19,1.3291474839999403e-7,5.455305086560467e-7,1.07687205436862e-5,1.1447165800742241e-5
t20,9.72096185235669e-8,4.953788005860903e-7,9.41490752806912e-6,1.0007495947178776e-5
t21,8.051143806583084e-8,4.653949950269784e-7,9.239446444652325e-6,9.785352877745134e-6
t22,7.164295445297163e-8,4.4422123156206074e-7,9.562913256517806e-6,1.0078777442532839e-5
t23,6.661109762182251e-8,4.2627118952960967e-7,1.019472054152257e-5,1.0687602828674002e-5
t24,5.195559436271404e-8,4.080481854259411e-7,1.119312691922541e-5,1.1653130699014066e-5
t25,4.7944590596995914e-8,3.8639326697365166e-7,1.2902532406117825e-5,1.3336870263688474e-5
t26,4.805348528218949e-8,4.0564821670674134e-7,1.7010784743097477e-5,1.746448644508641e-5
t27,4.803641467448728e-8,4.1453875954274653e-7,1.9987749985178067e-5,2.0450325159395302e-5
