Resource,CAISO_Advanced_CCGT_candidate,CAISO_Aero_CT_candidate,CAISO_Reciprocating_Engine_candidate,CAISO_Shed_DR_Tranche1,CAM_CAM_RA_i,CAM_CAM_RA_ii,CAM_CAM_RA_iii,CAM_CPE_RA_i,CAM_CPE_RA_ii,CAM_DR_RA,Generic_RA_Only,Leapfrog_Power,Tierra_Buena,Aquamarine_Westside,Arizona_Solar,Humboldt_Bay_Offshore_Wind,Morro_Bay_Offshore_Wind,NW_Ext_Tx_Wind,New_Mexico_Wind,Northern_California_Solar,Northern_California_Wind,Riverside_Palm_Springs_Wind,Riverside_Solar,Wyoming_Wind,Arizona_Li_Battery,CAISO_New_Flow_Battery,CAISO_New_Flow_Battery_12,CAISO_New_Flow_Battery_8,CAISO_New_LDES_Battery_12,CC_Power_GoalLine,CC_Power_Tumbleweed,Generic_4hr_battery_low_cost,Generic_6hr_battery,Generic_6hr_battery_low_cost,Generic_8hr_battery,Generic_8hr_battery_low_cost,Northern_California_Li_Battery,Riverside_Li_Battery,Riverside_West_Pumped_Storage,Tehachapi_Pumped_Storage,FishLake,Greater_Imperial_Geothermal,InState_Biomass,Northern_California_Geothermal,Ormat_Portfolio,Southern_Nevada_Geothermal,IndianValley_Hydro,GibsonSolar,PutahCreek,Resurgence_Hybrid,WillowSpringsSolar
Zone,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
t1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.619512216891103,0.0,0.0,0.0,0.0,0.0,0.0,0.0354925397195929,0.16661633938370043,8.9448680444618,0.057920890154697424,10.649949366510082,24.619512216891103,24.619512216891103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.579035052891966,243.40886951088856,117.64533880866767
t2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.28444387088712,0.0,0.0,0.0,0.0,0.0,0.0,0.0329203155073831,0.15146181391867994,8.364485715298057,0.05300428671066239,9.996431086453924,24.28444387088712,24.28444387088712,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.519440097128438,241.90932159735445,116.92578665380792
t3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.028453265565908,0.0,0.0,0.0,0.0,0.0,0.0,0.03000073801125812,0.13502852452701547,7.828801488505879,0.047824687594438475,9.408531815734174,24.028453265565908,24.028453265565908,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.459845330911737,240.40977420334738,116.206234928375
t4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.82631543960975,0.0,0.0,0.0,0.0,0.0,0.0,0.026424958368051765,0.11448903605265252,6.7682583299725065,0.042147512720420076,8.353972106178453,22.82631543960975,22.82631543960975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.400250240133357,238.91022580386968,115.48668233125576
t5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.825053374556724,0.0,0.0,0.0,0.0,0.0,0.0,0.021961879472937654,0.09061987264932153,5.439727601875953,0.03600915385851141,7.134049942164111,19.825053374556724,19.825053374556724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.340655121623286,237.41067712607696,114.76712952277043
t6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.335669962680644,0.0,0.0,0.0,0.0,0.0,0.0,0.016315627397474428,0.06357203474578374,3.872786976732016,0.02936342888475872,5.786304383442336,14.335669962680644,14.335669962680644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.28106002265448,235.91112835827752,114.04757666033512
t7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1206401123730525,0.0,0.0,0.0,0.0,0.0,0.0,0.009242878388958223,0.03330914640683053,2.0170661957370157,0.022101783754800156,4.274603332490014,2.1206401123730525,2.1206401123730525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.221464885714294,234.41157883794816,113.328023330685
t8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0977929947559744e-5,0.0,0.0,0.0,0.0,0.0,0.0,0.00015595790782034616,0.0001593254534776098,0.00016422600140966393,0.014222455715734179,2.7972306873249475,5.0977929947559744e-5,5.0977929947559744e-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.161870136248224,232.91203249896307,112.60847203641767
t9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005265047824188459,0.0,0.0,0.0,0.0,0.0,0.0,0.0015225914316201138,0.008658242572793432,0.13860756300172558,0.02406469714252618,4.778428469889822,0.0005265047824188459,0.0005265047824188459,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.221805978625389,234.41196842899384,113.32840799299568
t10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002426569419495259,0.0,0.0,0.0,0.0,0.0,0.0,0.0086989568277641,0.046740950817697365,2.3940942142359884,0.033910868910123224,6.759630112184749,0.002426569419495259,0.002426569419495259,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.281746352742076,235.91190887381202,114.04834846326982
t11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.000241813662066,0.0,0.0,0.0,0.0,0.0,0.0,0.016085660749302906,0.08577343314458527,4.6504996433249675,0.043757871462992225,8.74083258508714,6.000241813662066,6.000241813662066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.341687733380184,237.41185032118133,114.76828993481564
t12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.480365071610002,0.0,0.0,0.0,0.0,0.0,0.0,0.0252455643258457,0.12496088854359377,6.9070442601749775,0.05360529620027364,10.722035477824722,19.480365071610002,19.480365071610002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.401629629718235,238.9117922800461,115.4882319176326
t13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.961834430892246,0.0,0.0,0.0,0.0,0.0,0.0,0.035131347490361946,0.16423836012999,9.163669611874608,0.06345316890785904,12.70323880780056,32.961834430892246,32.961834430892246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.46157204420842,240.41173475238352,116.20817441343532
t14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.44345379895211,0.0,0.0,0.0,0.0,0.0,0.0,0.04517981551476461,0.2035465206442291,11.420322945232444,0.07330119728110855,14.68444229241063,46.44345379895211,46.44345379895211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.52151463019517,241.91167739663382,116.92811708186976
t15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.9217918258373,0.0,0.0,0.0,0.0,0.0,0.0,0.0538169188969678,0.2427476301479064,13.67688326155602,0.08314830424566472,16.665644898588113,59.9217918258373,59.9217918258373,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.581456182306638,243.41161900877674,117.64805872099625
t16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.9219448141428,0.0,0.0,0.0,0.0,0.0,0.0,0.054475905573754285,0.28134406165729564,15.932950914237022,0.09299316036460843,18.646845352660545,59.9219448141428,59.9219448141428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.641395192842058,244.91155808578583,118.36799782299332
t17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.20332493070708,0.0,0.0,0.0,0.0,0.0,0.0,0.050015111452694404,0.259529486153866,14.364992941390337,0.0861756257357545,17.012416859723977,56.20332493070708,56.20332493070708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.581686662185735,243.4118756323712,117.64831312075277
t18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.19867477316102,0.0,0.0,0.0,0.0,0.0,0.0,0.0468830577713604,0.238610896964379,12.857558777808471,0.0798488958447049,15.409881152628609,43.19867477316102,43.19867477316102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.52197806268488,241.91219256894237,116.92862800189619
t19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.45173798453006,0.0,0.0,0.0,0.0,0.0,0.0,0.044144043135542176,0.21883630074834493,11.540678043632617,0.07371028712398103,13.90478553741086,33.45173798453006,33.45173798453006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.46226953341534,240.41250977551516,116.2089430814143
t20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.708931433432404,0.0,0.0,0.0,0.0,0.0,0.0,0.04150215732753279,0.19906553508424896,10.251325962297102,0.06757802738688537,12.422515861336038,24.708931433432404,24.708931433432404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.402561033798582,238.91282702702676,115.48925819475075
t21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.656077941199875,0.0,0.0,0.0,0.0,0.0,0.0,0.0388073197889834,0.1786876792349891,8.950208126507075,0.061359283652521364,10.945705242863685,17.656077941199875,17.656077941199875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.342852566567911,237.41314434783925,114.7695733585479
t22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.319216679049864,0.0,0.0,0.0,0.0,0.0,0.0,0.03592480765465974,0.15706903809509465,7.584393724261364,0.054981172298174764,9.449898799733008,10.319216679049864,10.319216679049864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.283144125290239,235.91346168689148,114.04988854186145
t23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.5767714021606976,0.0,0.0,0.0,0.0,0.0,0.0,0.03270387285421556,0.13385919910440092,6.172125555564996,0.04840058094967218,7.949474837199129,6.5767714021606976,6.5767714021606976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.223435733217011,234.41377920164254,113.33020385066045
t24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.171167724419668,0.0,0.0,0.0,0.0,0.0,0.0,0.02898731678267874,0.10962968554724328,5.0800344613435815,0.041621977070216906,6.6809563414356266,6.171167724419668,6.171167724419668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.163727543336465,232.91409731403925,112.61051964509284
