Resource,CAISO_Advanced_CCGT_candidate,CAISO_Aero_CT_candidate,CAISO_Reciprocating_Engine_candidate,CAISO_Shed_DR_Tranche1,CAM_CAM_RA_i,CAM_CAM_RA_ii,CAM_CAM_RA_iii,CAM_CPE_RA_i,CAM_CPE_RA_ii,CAM_DR_RA,Generic_RA_Only,Leapfrog_Power,Tierra_Buena,Aquamarine_Westside,Arizona_Solar,Humboldt_Bay_Offshore_Wind,Morro_Bay_Offshore_Wind,NW_Ext_Tx_Wind,New_Mexico_Wind,Northern_California_Solar,Northern_California_Wind,Riverside_Palm_Springs_Wind,Riverside_Solar,Wyoming_Wind,Arizona_Li_Battery,CAISO_New_Flow_Battery,CAISO_New_Flow_Battery_12,CAISO_New_Flow_Battery_8,CAISO_New_LDES_Battery_12,CC_Power_GoalLine,CC_Power_Tumbleweed,Generic_4hr_battery_low_cost,Generic_6hr_battery,Generic_6hr_battery_low_cost,Generic_8hr_battery,Generic_8hr_battery_low_cost,Northern_California_Li_Battery,Riverside_Li_Battery,Riverside_West_Pumped_Storage,Tehachapi_Pumped_Storage,FishLake,Greater_Imperial_Geothermal,InState_Biomass,Northern_California_Geothermal,Ormat_Portfolio,Southern_Nevada_Geothermal,IndianValley_Hydro,GibsonSolar,PutahCreek,Resurgence_Hybrid,WillowSpringsSolar
Zone,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
t1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-246.70231412533286,0.0,0.0,0.0,0.0,0.0,0.0,-247.08876839637222,-246.67668590710815,-246.6978310034246,-245.9967264417046,-246.6940295928252,-246.70231412533286,-246.70231412533286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-214.89756392298403,-215.20054260883757,-215.194406870677
t2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-246.7021812993672,0.0,0.0,0.0,0.0,0.0,0.0,-246.9563640678133,-246.64842354259667,-246.69644869705996,-245.9089880135904,-246.69307986014255,-246.7021812993672,-246.7021812993672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-214.8985093145672,-215.2006939173012,-215.19460445588942
t3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-246.702038124889,0.0,0.0,0.0,0.0,0.0,0.0,-246.78351583921653,-246.6110208145881,-246.69473225080318,-245.7919966273591,-246.69186258420316,-246.702038124889,-246.702038124889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-214.89939493740323,-215.20084248033632,-215.19479620521395
t4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-246.7018841580824,0.0,0.0,0.0,0.0,0.0,0.0,-246.56355020206823,-246.56213919580534,-246.69260499154402,-245.64109959933035,-246.6903407243695,-246.7018841580824,-246.7018841580824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-214.90022291202916,-215.20098840052057,-215.19498233129454
t5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-246.70169858961114,0.0,0.0,0.0,0.0,0.0,0.0,-246.27966125825694,-246.496556496643,-246.68970593041968,-245.44667273682774,-246.68831752778178,-246.70169858961114,-246.70169858961114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-214.90099504840626,-215.2011317697801,-215.19516303073547
t6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-246.7014201154304,0.0,0.0,0.0,0.0,0.0,0.0,-245.88982435750313,-246.40201377807324,-246.68545418829282,-245.1893682375195,-246.68556085403873,-246.7014201154304,-246.7014201154304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-214.9017130023311,-215.2012726724444,-215.1953384958004
t7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-246.69971347916163,0.0,0.0,0.0,0.0,0.0,0.0,-245.2510382551584,-246.23636618399127,-246.67787337672863,-244.8243870008241,-246.68157098803286,-246.69971347916163,-246.69971347916163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-214.9023782375939,-215.20141117790791,-215.19550891447997
t8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-196.87949999635939,0.0,0.0,0.0,0.0,0.0,0.0,-199.44160752568396,-200.7349812204543,-201.76776149002757,-244.20357185338227,-246.6748941884377,-196.87949999635939,-196.87949999635939,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-214.9029916408552,-215.20154732100943,-215.19567444153296
t9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-40.866217655352344,0.0,0.0,0.0,0.0,0.0,0.0,-43.61797667505862,-45.15772328390984,-45.382611630195946,-241.4137518152606,-246.65855435556455,-40.866217655352344,-40.866217655352344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-214.9035557451823,-215.20168120697988,-215.19583522404676
