Resource,Arizona_Li_Battery,CAISO_New_Flow_Battery,CAISO_New_Flow_Battery_12,CAISO_New_Flow_Battery_8,CAISO_New_LDES_Battery_12,CC_Power_GoalLine,CC_Power_Tumbleweed,Generic_4hr_battery_low_cost,Generic_6hr_battery,Generic_6hr_battery_low_cost,Generic_8hr_battery,Generic_8hr_battery_low_cost,Northern_California_Li_Battery,Riverside_Li_Battery,Riverside_West_Pumped_Storage,Tehachapi_Pumped_Storage,Total
Zone,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
AnnualSum,-8.24533860596508e-5,-0.0005261974220383161,-0.0005112205179638595,-0.0005182112134484437,-0.0008826127238024975,0.0,0.0,-0.00039061539361583207,-0.00035747410042421624,-0.00037072424576471236,-0.0001625403294999526,-0.00031726748182512416,-8.24533860596508e-5,-8.24533860596508e-5,-0.00021297254607665259,-0.00021297254607665259,-0.0047101686787152115
t1,-3.227494821036249e-7,-1.953525828638118e-7,-1.1929129229948325e-6,-1.1926167302831755e-6,-4.4916831459641196e-7,0.0,0.0,-1.0086093548963523e-6,-4.4354690311683524e-8,-6.037818009644948e-8,-2.9707370726101552e-8,-3.835263739667503e-8,-3.227494821036249e-7,-3.227494821036249e-7,-3.433709572698453e-7,-3.433709572698453e-7,-5.8664431450160585e-6
t2,-3.265370363000957e-7,-1.9583826321616052e-7,-1.2093603292185887e-6,-1.209054509655634e-6,-4.5095149050478346e-7,0.0,0.0,-1.0204553394044215e-6,-4.444287184935048e-8,-6.050603401988412e-8,-2.9713138961044522e-8,-3.836161127110883e-8,-3.265370363000957e-7,-3.265370363000957e-7,-3.489696254697803e-7,-3.489696254697803e-7,-5.936233947940824e-6
t3,-3.3037782699834794e-7,-1.9629679549280641e-7,-1.2261105571810735e-6,-1.2257926488229838e-6,-4.52747706049867e-7,0.0,0.0,-1.032358129386224e-6,-4.453003313260262e-8,-6.063234439459228e-8,-2.97183893208081e-8,-3.836974645634593e-8,-3.3037782699834794e-7,-3.3037782699834794e-7,-2.4347102237385906e-7,-2.4347102237385906e-7,-5.784631875980065e-6
t4,-3.3453585977448176e-7,-1.9681180504856867e-7,-1.244094163494261e-6,-1.243768469009548e-6,-4.545573595802315e-7,0.0,0.0,-1.045229915067729e-6,-4.4624835209070675e-8,-6.077126657399674e-8,-2.972830205874719e-8,-3.8383949624594904e-8,-3.3453585977448176e-7,-3.3453585977448176e-7,-3.6087177384058025e-7,-3.6087177384058025e-7,-6.083321192671354e-6
t5,-1.0368974365673394e-8,-1.4812745241580649e-8,-3.575208495270548e-8,-3.57497055155975e-8,-4.5637921933736225e-7,0.0,0.0,-3.1987766463445024e-8,-1.3378221569519063e-8,-1.5637206497596787e-8,-1.0810133379358563e-8,-1.2706319357230515e-8,-1.0368974365673394e-8,-1.0368974365673394e-8,-1.1909181054957148e-8,-1.1909181054957148e-8,-6.821386875213303e-7
t6,-3.4301688840718864e-7,-1.97795717001158e-7,-1.281395335247623e-6,-1.2810483376711684e-6,-4.5821711532771657e-7,0.0,0.0,-1.0714734026281633e-6,-4.4808346060893726e-8,-6.103914570011346e-8,-2.9744344586257313e-8,-3.8407304828723435e-8,-3.4301688840718864e-7,-3.4301688840718864e-7,-3.7366478414506034e-7,-3.7366478414506034e-7,-6.2403092825635045e-6
t7,-3.47454913211671e-7,-1.9828790296890457e-7,-1.3010487950688185e-6,-1.300688877553933e-6,-4.600677133036766e-7,0.0,0.0,-1.085163129965501e-6,-4.490067289240474e-8,-6.117422434525842e-8,-2.9752365762683065e-8,-3.8419155663573844e-8,-3.47454913211671e-7,-3.47454913211671e-7,-3.804433220452957e-7,-3.804433220452957e-7,-6.322754221250358e-6
t8,-3.520379286331568e-7,-1.9878038561276262e-7,-1.321513505807901e-6,-1.3211403470237644e-6,-4.6193206116520617e-7,0.0,0.0,-1.0993104130895525e-6,-4.4994869000098793e-8,-6.131217996078377e-8,-2.976234522154492e-8,-3.843290885361711e-8,-3.520379286331568e-7,-3.520379286331568e-7,-3.874979698029969e-7,-3.874979698029969e-7,-6.408288741240695e-6
t9,-3.567469431044067e-7,-1.9927315236313558e-7,-1.342847823109588e-6,-1.3424612448638426e-6,-4.6381069152681536e-7,0.0,0.0,-1.1139294046468104e-6,-4.508437030705125e-8,-6.14427305540414e-8,-2.976809922112688e-8,-3.84421952463664e-8,-3.567469431044067e-7,-3.567469431044067e-7,-3.9485676281906867e-7,-3.9485676281906867e-7,-6.497014066790136e-6
t10,-3.616321924577762e-7,-1.9976687998103759e-7,-1.3651195682155152e-6,-1.3647185060313506e-6,-4.657035168869496e-7,0.0,0.0,-1.129062662206452e-6,-4.517635401264467e-8,-6.157718169580378e-8,-2.9776337231241106e-8,-3.845394156716133e-8,-3.616321924577762e-7,-3.616321924577762e-7,-4.0255473054918257e-7,-4.0255473054918257e-7,-6.58936098629985e-6
t11,-3.6665914009208326e-7,-2.0026112598417624e-7,-1.3883975412250442e-6,-1.3879800027140295e-6,-4.676112366472147e-7,0.0,0.0,-1.1447048274759502e-6,-4.526608360678357e-8,-6.170794701839338e-8,-2.9782422772558532e-8,-3.846343359297021e-8,-3.6665914009208326e-7,-3.6665914009208326e-7,-4.105950506032161e-7,-4.105950506032161e-7,-6.685342142519802e-6
t12,-3.7189807484017435e-7,-2.0075630144316338e-7,-1.4127628225458251e-6,-1.4123279872606816e-6,-4.695334775017398e-7,0.0,0.0,-1.1609380096370542e-6,-4.535801915224275e-8,-6.184245301698843e-8,-2.979033766940738e-8,-3.8474943313874144e-8,-3.7189807484017435e-7,-3.7189807484017435e-7,-4.1905674063880544e-7,-4.1905674063880544e-7,-6.785592057339111e-6
t13,-3.7736593820356095e-7,-2.0125438799765447e-7,-1.438312928636752e-6,-1.4378601011095604e-6,-4.714712360411885e-7,0.0,0.0,-1.1778140422047652e-6,-4.5452195263010673e-8,-6.198090433255959e-8,-2.9799606082180945e-8,-3.8488055781478905e-8,-3.7736593820356095e-7,-3.7736593820356095e-7,-4.279922124781864e-7,-4.279922124781864e-7,-6.890515697016206e-6
t14,-3.8298598072268654e-7,-2.0175091858972992e-7,-1.4651234931777367e-6,-1.4646503578839093e-6,-4.7342388215434175e-7,0.0,0.0,-1.1952868459028717e-6,-4.55424842424451e-8,-6.211258192508245e-8,-2.980610774234754e-8,-3.849792979463741e-8,-3.8298598072268654e-7,-3.8298598072268654e-7,-4.373319524179775e-7,-4.373319524179775e-7,-6.999816448417117e-6
t15,-3.8882378133008955e-7,-2.0223987701962876e-7,-1.4932751307323622e-6,-1.4927619046232396e-6,-4.753922722225964e-7,0.0,0.0,-1.2133774417812868e-6,-4.563279976213894e-8,-6.224442136142491e-8,-2.981243578977146e-8,-3.850755212177347e-8,-3.8882378133008955e-7,-3.8882378133008955e-7,-4.471851550058087e-7,-4.471851550058087e-7,-7.114085489416108e-6
t16,-3.949518749990704e-7,-2.0274147179108953e-7,-1.522985580976265e-6,-1.5224593484497302e-6,-4.77376269831868e-7,0.0,0.0,-1.2323596200618485e-6,-4.572651361674813e-8,-6.238212103386156e-8,-2.982112426412517e-8,-3.852011282751022e-8,-3.949518749990704e-7,-3.949518749990704e-7,-4.5765771743654576e-7,-4.5765771743654576e-7,-7.2345432227233494e-6
t17,-4.013095606909707e-7,-2.0324536929020837e-7,-1.5543733036740984e-6,-1.5538196469525476e-6,-4.793766188238914e-7,0.0,0.0,-1.25205235932269e-6,-4.5818592690198825e-8,-6.251717955113077e-8,-2.9828277686929856e-8,-3.853098685130738e-8,-4.013095606909707e-7,-4.013095606909707e-7,-1.7477001840365719e-7,-1.7477001840365719e-7,-6.773031053723229e-6
t18,-4.0798974308429143e-7,-2.0374902137697874e-7,-1.5875169993727095e-6,-1.5869470867968138e-6,-4.81393143118225e-7,0.0,0.0,-1.2726438046300085e-6,-4.591582163333745e-8,-6.266103370997691e-8,-2.983991866666661e-8,-3.854654464388991e-8,-4.0798974308429143e-7,-4.0798974308429143e-7,-4.804014845916346e-7,-4.804014845916346e-7,-7.49398557238475e-6
t19,-5.401174715687207e-9,-7.811401537284303e-9,-1.883998357716434e-8,-1.883861539831428e-8,-4.834252121367465e-7,0.0,0.0,-1.66690432644409e-8,-8.802278987444773e-9,-9.958967126785238e-9,-7.3029299966905034e-9,-8.386325667220503e-9,-5.401174715687207e-9,-5.401174715687207e-9,-7.593700546035321e-9,-7.593700546035321e-9,-6.114256829312235e-7
t20,-4.220425485361887e-7,-2.0475373722801424e-7,-1.6592790807580793e-6,-1.658644399106889e-6,-4.854758543800486e-7,0.0,0.0,-1.3162036704582818e-6,-4.610038813453692e-8,-6.293178847512542e-8,-2.985488227733192e-8,-3.856864620920394e-8,-4.220425485361887e-7,-4.220425485361887e-7,-5.056960495958105e-7,-5.056960495958105e-7,-7.779332191827698e-6
t21,-3.319313896056083e-9,-4.846746834997584e-9,-1.1675667304196049e-8,-1.1674809365460894e-8,-4.875409974396372e-7,0.0,0.0,-1.0257177333918888e-8,-6.235434331995681e-9,-6.910166902583893e-9,-5.32306716888652e-9,-6.019335143846219e-9,-3.319313896056083e-9,-3.319313896056083e-9,-5.173826021801463e-9,-5.173826021801463e-9,-5.70788995557294e-7
t22,-4.3721902412309e-7,-2.0576765931687672e-7,-1.7389770011038497e-6,-1.7382670790550053e-6,-4.89628033111248e-7,0.0,0.0,-1.3632162445385723e-6,-4.6286821758572805e-8,-6.32059595962896e-8,-2.9871141050234975e-8,-3.8592140876761604e-8,-4.3721902412309e-7,-4.3721902412309e-7,-5.340230433487607e-7,-5.340230433487607e-7,-8.093515239474203e-6
t23,-4.452762955742615e-7,-2.0627240369059334e-7,-1.782460986807183e-6,-1.781704220498454e-6,-4.917304969958962e-7,0.0,0.0,-1.388242249510527e-6,-4.637733621683868e-8,-6.333824626050419e-8,-3.277128846668808e-8,-3.860125377838868e-8,-4.452762955742615e-7,-4.452762955742615e-7,-5.495867839840964e-7,-5.495867839840964e-7,-8.266500936916051e-6
t24,-4.5377730328936767e-7,-2.0678067241649934e-7,-1.8290660100631388e-6,-1.828261897159688e-6,-4.938509078273111e-7,0.0,0.0,-1.4145477980226636e-6,-4.647219473815989e-8,-6.347825049269331e-8,-3.1643992971678325e-8,-3.987495729438434e-8,-4.5377730328936767e-7,-4.5377730328936767e-7,-5.664011245435453e-7,-5.664011245435453e-7,-8.44811083994141e-6
t25,-4.626965075752614e-7,-2.0728804837154773e-7,-1.8791739470972228e-6,-1.878314884536603e-6,-4.95989865715156e-7,0.0,0.0,-1.4421983774694151e-6,-4.656415694699768e-8,-6.361334405019486e-8,-3.1651557685078334e-8,-3.945504769438483e-8,-4.626965075752614e-7,-4.626965075752614e-7,-5.845788646259876e-7,-5.845788646259876e-7,-8.641496481544359e-6
t26,-4.7210662401455244e-7,-2.0779782955371802e-7,-1.933259299941868e-6,-1.9323381065437033e-6,-4.981475247900795e-7,0.0,0.0,-1.4713532085837242e-6,-4.6658414519765356e-8,-6.375229792451973e-8,-3.166032501745202e-8,-3.946724931622909e-8,-4.7210662401455244e-7,-4.7210662401455244e-7,-6.043576832163013e-7,-6.043576832163013e-7,-8.849469494667318e-6
t27,-4.820174718347713e-7,-2.0830528008717615e-7,-1.991866132278333e-6,-1.9908701475732318e-6,-5.003244622812902e-7,0.0,0.0,-1.5021095611828766e-6,-4.6749951433485376e-8,-6.388663128032528e-8,-3.1667272806025874e-8,-3.9477424838552605e-8,-4.820174718347713e-7,-4.820174718347713e-7,-6.259504240917829e-7,-6.259504240917829e-7,-9.073210127449175e-6
t28,-4.925320723688944e-7,-2.0881917916859503e-7,-2.0556874128756056e-6,-2.05461142979054e-6,-5.025211067397456e-7,0.0,0.0,-1.5346844744179916e-6,-4.684491343664137e-8,-6.402695545068154e-8,-3.1676442604015794e-8,-3.949005993076614e-8,-4.925320723688944e-7,-4.925320723688944e-7,-6.497263820732552e-7,-6.497263820732552e-7,-9.315410955667775e-6
t29,-5.036544529174925e-7,-2.0932512417821028e-7,-2.125515440342294e-6,-2.1243315685873647e-6,-5.047378236831581e-7,0.0,0.0,-1.5691840569792606e-6,-4.6936804069769994e-8,-6.416192602245173e-8,-3.168344583249186e-8,-3.9500079033881336e-8,-5.036544529174925e-7,-5.036544529174925e-7,-6.76000980570331e-7,-6.76000980570331e-7,-9.578341588622021e-6
t30,-5.155178860137725e-7,-2.098473653649589e-7,-2.2024049599392526e-6,-2.201123576162322e-6,-5.069752669066255e-7,0.0,0.0,-1.6059105274331046e-6,-4.703319655977606e-8,-6.430496642239879e-8,-3.1693453401506184e-8,-3.9513979766336485e-8,-5.155178860137725e-7,-5.155178860137725e-7,-7.053537948776718e-7,-7.053537948776718e-7,-9.866068539752941e-6
t31,-1.5412264965210328e-9,-2.2460885021469034e-9,-5.491613401519795e-9,-5.491174616977851e-9,-1.7833672770262106e-7,0.0,0.0,-4.765808810424682e-9,-3.4248340658553087e-9,-3.6905228852373323e-9,-3.0644778945265842e-9,-3.3524817479827213e-9,-1.5412264965210328e-9,-1.5412264965210328e-9,-2.7374167684733994e-9,-2.7374167684733994e-9,-2.1996224265380213e-7
t32,-5.413673085842598e-7,-2.1088637285431597e-7,-2.379276790346635e-6,-2.3777255091655033e-6,-5.115104574977349e-7,0.0,0.0,-1.685932617604046e-6,-4.7225543780810474e-8,-6.459151773180744e-8,-3.171315077533828e-8,-3.9540941466768405e-8,-5.413673085842598e-7,-5.413673085842598e-7,-7.74315538939608e-7,-7.74315538939608e-7,-1.0521135904854954e-5
