Resource,GibsonSolar,PutahCreek,Resurgence_Hybrid,WillowSpringsSolar,Total
Zone,1,1,1,1,0
AnnualSum,0.0,205.70324146595655,5475.8977529831,2525.139926750163,8206.74092119922
t1,0.0,5.8392207598467424e-8,3.397319557787538e-8,2.9376749689346347e-8,1.2174215286568917e-7
t2,0.0,2.5471311428278427e-8,3.39736633361127e-8,2.9377059552959434e-8,8.882203431735056e-8
t3,0.0,2.6140029127364288e-8,3.3974622385019213e-8,2.937768771708499e-8,8.94923392294685e-8
t4,0.0,1.9304698393160715e-8,3.39737042934332e-8,2.9377083667591332e-8,8.265548635418525e-8
t5,0.0,2.379632477933976e-8,5.4654587033315784e-8,4.36636069801166e-8,1.2211451879277215e-7
t6,0.0,2.483606420817916e-8,3.3973561829524405e-8,2.937699132967446e-8,8.818661736737802e-8
t7,0.0,3.3490415294804564e-8,3.3973369045954215e-8,2.9376862860467027e-8,9.68406472012258e-8
t8,0.0,3.6323344807165016e-8,3.397319448409975e-8,2.9376752786859842e-8,9.967329207812461e-8
t9,0.0,3.131684180100737e-8,3.39733228646855e-8,2.9376831949808525e-8,9.466699661550138e-8
t10,0.0,2.6465037331980473e-8,3.397334877993139e-8,2.9376847261983644e-8,8.98152333738955e-8
t11,0.0,3.5071435170312e-8,3.3973623364671056e-8,2.9377026553424346e-8,9.84220850884074e-8
t12,0.0,3.0147005763081014e-8,3.397367369567853e-8,2.9377057429131446e-8,9.3497736887891e-8
t13,0.0,8.020777887759644e-8,3.397339235838766e-8,2.9376871635135007e-8,1.435580428711191e-7
t14,0.0,4.2644543084358664e-8,3.3973636164260586e-8,2.9377030661648003e-8,1.0599520991026725e-7
t15,0.0,3.7130335536405266e-8,3.397390649953917e-8,2.937720253602753e-8,1.0048144457197196e-7
t16,0.0,2.074140913592818e-8,3.3973707320800043e-8,2.9377073885221172e-8,8.40921903419494e-8
t17,0.0,2.5666878586710882e-8,3.3973713454120695e-8,2.9377073686900097e-8,8.901766572773168e-8
t18,0.0,2.046937437416748e-8,3.397329751672423e-8,2.9376810665198275e-8,8.381948255608999e-8
t19,0.0,2.3796208700555292e-8,8.263101151122151e-8,5.985333756890982e-8,1.6628055778068662e-7
t20,0.0,1.677312083169091e-8,3.397336950518784e-8,2.9376853782973363e-8,8.01233441198521e-8
t21,0.0,2.379626707023892e-8,1.6226550314533225e-7,9.286589979521577e-8,2.7892767001078695e-7
t22,0.0,2.619841592173898e-8,3.397335862345081e-8,2.9376845328624328e-8,8.954861987381412e-8
t23,0.0,3.315832534444035e-8,3.397351956450803e-8,2.9376945693249753e-8,9.650879060219814e-8
t24,0.0,3.794296557487501e-8,3.397344137391326e-8,2.937689503207589e-8,1.0129330198086417e-7
t25,0.0,4.276139493728547e-8,3.397348999469928e-8,2.9376921332284127e-8,1.0611180626426888e-7
t26,0.0,4.3720058779540484e-8,3.3973489706369914e-8,2.9376921441288122e-8,1.0707046992719853e-7
t27,0.0,4.1806557835764914e-8,3.397361589433527e-8,2.9376997543933822e-8,1.0515717127403401e-7
t28,0.0,4.147317595616699e-8,3.397357442222687e-8,2.9376973383443994e-8,1.0482372376183786e-7
t29,0.0,4.01566417551204e-8,3.397369200479615e-8,2.937704339034585e-8,1.035073771502624e-7
t30,0.0,3.788158644459812e-8,3.397357085372255e-8,2.937696922376459e-8,1.0123212652208526e-7
t31,0.0,2.3796284063821257e-8,1.4999996621085592,0.7199992847615793,2.2199989706664223
t32,0.0,2.915184202204026e-8,3.3973429234464044e-8,2.9376878670418845e-8,9.250214992692314e-8
t33,0.0,2.452377375371489e-8,3.3973732292822073e-8,2.937705833387088e-8,8.787456438040785e-8
t34,0.0,2.886420944622777e-8,3.3973483979542564e-8,2.937690925513057e-8,9.22146026809009e-8
t35,0.0,2.379611152680524e-8,1.4999999358993292,0.7199999302364277,2.2199998899318683
t36,0.0,1.984483297377048e-8,3.397369615668672e-8,2.9377038850845424e-8,8.319556798130263e-8
t37,0.0,2.379622577285635e-8,4.0197777434422015e-8,3.391817700845596e-8,9.791218021573433e-8
t38,0.0,2.6676259322602626e-8,3.3973636343072286e-8,2.9376994577231553e-8,9.002689024290647e-8
t39,0.0,2.379621898609763e-8,3.8103591968741676e-8,3.24149184144835e-8,9.431472936932281e-8
t40,0.0,2.5965911477162776e-8,3.397369118116267e-8,2.9377027625125976e-8,8.931663028345142e-8
t41,0.0,1.4552085136831275e-8,3.397626112250843e-8,2.9378713188720336e-8,7.790705944806005e-8
t42,0.0,1.1414830875721333e-8,3.397366642979043e-8,2.9377010946015678e-8,7.476550825152744e-8
t43,0.0,1.1216852777831781e-8,3.401562635758326e-8,2.940752135221065e-8,7.46400004876257e-8
t44,0.0,1.1590070654935874e-8,3.39737714643654e-8,2.9377071971861644e-8,7.494091409116292e-8
t45,0.0,2.379563699625578e-8,1.4999996130072202,0.7199989146658847,2.219998551468742
t46,0.0,1.325769197317626e-8,3.397396490367984e-8,2.9377188014891126e-8,7.660884489174723e-8
t47,0.0,2.8035107056835868e-8,1.4999997296830456,0.7199995536878362,2.219999311405989
t48,0.0,3.737130116188186e-8,5.6839573770415374e-8,4.5047230070475616e-8,1.3925810500277284e-7
t49,0.0,4.266642993863084e-8,6.699823995726835e-8,5.119985205741625e-8,1.6086452195331543e-7
t50,0.0,4.553029152926191e-8,6.69980952175948e-8,5.1199779037481493e-8,1.637281657843382e-7
t51,0.0,4.625023115747307e-8,6.699884748334537e-8,5.1200151873165244e-8,1.6444923051398367e-7
t52,0.0,4.149412552295211e-8,6.699992001728492e-8,5.1200759729093233e-8,1.5969480526933025e-7
t53,0.0,4.266649662466225e-8,1.0869391711633868e-7,7.2433956382354e-8,2.2379437012335493e-7
t54,0.0,1.7626682299392485e-8,6.700160051275565e-8,5.120160955304973e-8,1.3582989236519786e-7
t55,0.0,4.6249621583392264e-8,1.499999966521046,0.7199999650904308,2.2199999778610984
t56,0.0,0.05999992317863279,1.4999999571100673,0.7199999546790526,2.279999834967753
t57,0.0,0.059999967144883655,1.4999999507736155,0.7199999475844816,2.2799998655029805
t58,0.0,0.05999997845432481,1.49999997290853,0.7199999719787812,2.279999923341636
t59,0.0,0.0599999787229391,1.4999999729274631,0.7199999719728992,2.2799999236233015
t60,0.0,0.059999978737692,1.4999999728664533,0.7199999719851814,2.2799999235893265
t61,0.0,0.05999997873772023,1.499999972880032,0.7199999719789711,2.279999923596723
t62,0.0,0.05999997873771711,1.4999999728664442,0.7199999719808088,2.27999992358497
t63,0.0,0.059999978737752174,1.4999999728395654,0.7199999719837812,2.279999923561099
t64,0.0,0.059999978737702596,1.499999972876987,0.7199999719772664,2.279999923591956
t65,0.0,0.05999995510901177,1.4999999729173554,0.7199999719724229,2.2799998999987903
t66,0.0,0.059999922063040605,1.4999999728752456,0.719999971969388,2.279999866907674
t67,0.0,0.05999993547891002,1.499999972894423,0.719999971985563,2.279999880358896
t68,0.0,0.059999933889149884,1.4999999728709081,0.7199999719859443,2.2799998787460023
t69,0.0,0.05999994531852077,1.4999999728843838,0.7199999719686975,2.279999890171602
t70,0.0,0.059999960514206765,1.4999999728938878,0.7199999719754104,2.279999905383505
t71,0.0,0.05999995252586076,1.499999979596522,0.7199999790420772,2.27999991116446
t72,0.0,0.05999996157763042,1.499999972903185,0.7199999719830491,2.2799999064638645
t73,0.0,0.059999953114068465,1.4999999810368703,0.7199999805864437,2.2799999147373824
t74,0.0,0.059999934109865156,1.4999999728999687,0.719999971981236,2.27999987899107
t75,0.0,0.059999953698065996,1.4999999729160147,0.719999971976013,2.2799998985900936
t76,0.0,0.05999993572591839,1.4999999728908215,0.7199999719807236,2.2799998805974635
t77,0.0,0.059999962825410674,1.4999999729024003,0.7199999719796369,2.279999907707448
t78,0.0,0.05999993539422026,1.4999999728837443,0.7199999719796174,2.279999880257582
t79,0.0,0.05999995166693739,1.499999977321778,0.7199999767021809,2.279999905690896
t80,0.0,0.05999987724358872,1.4999999729284157,0.7199999719674015,2.279999822139406
t81,0.0,0.05999997028289031,1.4999999717885146,0.7199999707821166,2.2799999128535218
t82,0.0,0.05999997487848476,1.4999999729029088,0.7199999719808013,2.279999919762195
t83,0.0,0.059999979872582515,1.499999975598783,0.7199999748400069,2.2799999303113725
t84,0.0,0.059999980425575965,1.4999999755891253,0.7199999748330922,2.2799999308477936
t85,0.0,0.05999998042559769,1.4999999755801656,0.719999974840314,2.279999930846077
t86,0.0,0.05999998042556045,1.4999999755699758,0.7199999748447609,2.279999930840297
t87,0.0,0.0599999803424566,1.499999975561422,0.7199999748391512,2.27999993074303
t88,0.0,0.05999998042566902,1.4999999755460502,0.7199999748355246,2.279999930807244
t89,0.0,0.059999952307638375,1.4999999790522827,0.7199999784593127,2.279999909819234
t90,0.0,0.05999994641217303,1.4999999755564868,0.7199999748390814,2.279999896807741
t91,0.0,0.059999946994364825,1.4999999755833557,0.7199999748417406,2.279999897419461
t92,0.0,0.059999944795857726,1.4999999755810138,0.7199999748348888,2.2799998952117604
t93,0.0,0.05999995131115936,1.4999999764212668,0.7199999757001452,2.2799999034325715
t94,0.0,0.05999993118518746,1.4999999756154916,0.7199999748438284,2.2799998816445077
t95,0.0,0.05999995244718959,1.4999999793688508,0.7199999788158649,2.279999910631905
t96,0.0,0.059999954610755406,1.4999999755552909,0.719999974846736,2.279999905012782
t97,0.0,0.059999953144994664,1.4999999811248976,0.7199999806629783,2.2799999149328705
t98,0.0,0.05999994539617778,1.4999999755892808,0.7199999748497794,2.279999895835238
t99,0.0,0.05999995231438135,1.4999999790514549,0.7199999784602017,2.2799999098260377
t100,0.0,0.05999995027382744,1.4999999755675397,0.7199999748389838,2.279999900680351
t101,0.0,0.05999995100728329,1.4999999755869595,0.7199999748399062,2.2799999014341488
t102,0.0,0.05999994686368329,1.4999999756006583,0.7199999748309135,2.279999897295255
t103,0.0,0.05999994846466483,1.4999999817997285,0.7199999814020179,2.2799999116664114
t104,0.0,0.05999994603445636,1.4999999756180582,0.7199999748549181,2.279999896507433
t105,0.0,0.059999980425940236,1.4999999756091889,0.7199999748366815,2.279999930871811
t106,0.0,0.059999980426012484,1.4999999755767424,0.719999974842602,2.279999930845357
t107,0.0,0.05999998042604183,1.4999999755725162,0.7199999748415079,2.279999930840066
t108,0.0,0.05999998042606616,1.4999999756133024,0.7199999748434661,2.279999930882835
t109,0.0,0.05999998042614402,1.4999999755705438,0.7199999748450159,2.2799999308417034
t110,0.0,0.059999980426214614,1.499999975633033,0.7199999748530046,2.2799999309122523
t111,0.0,0.05999998042624998,1.4999999755906974,0.7199999748447913,2.2799999308617385
t112,0.0,0.05999998042620715,1.4999999755802467,0.719999974837091,2.279999930843545
t113,0.0,1.5820763427130228e-8,2.4816973802339387e-8,2.2271458544112014e-8,6.290919577358163e-8
t114,0.0,8.887664459179861e-9,2.4816742205813876e-8,2.2271301206765763e-8,5.59757078717595e-8
t115,0.0,1.3525696377120365e-8,1.4999997690113318,0.7199996570893078,2.219999439626336
t116,0.0,8.587670479349057e-9,2.481673390303289e-8,2.227130021842589e-8,5.567570460080784e-8
t117,0.0,1.2729418637679684e-8,1.4999995133489308,0.4946161527073165,1.994615678785666
t118,0.0,1.003905274881557e-8,2.481672238195302e-8,2.227129607782995e-8,5.712707120859854e-8
t119,0.0,1.3525910799330298e-8,1.499999758085246,0.7199996305673315,2.2199994021784883
t120,0.0,1.550655893666223e-8,2.481648088685275e-8,2.227110972148895e-8,6.259414954500393e-8
t121,0.0,1.3596797821590475e-8,2.4816700664582418e-8,2.2271278458758458e-8,6.068477694493135e-8
t122,0.0,1.120733787604294e-8,2.48171199845693e-8,2.22716096394918e-8,5.829606750010404e-8
t123,0.0,1.3526059632486088e-8,3.83054339737411e-8,3.256112906885337e-8,8.439262267508056e-8
t124,0.0,9.345647526149765e-9,2.4817153241407946e-8,2.2271637701423347e-8,5.643443846898106e-8
