Resource,GibsonSolar,PutahCreek,Resurgence_Hybrid,WillowSpringsSolar,Total
Zone,1,1,1,1,0
AnnualSum,0.0,249.0608816202529,6259.245142973797,3004.1154030418556,9512.421427635905
t1,0.0,4.355054121542607e-5,4.7543178357864883e-5,4.7188410470533976e-5,0.00013828213004382493
t2,0.0,4.356581412546289e-5,4.757738822767873e-5,4.7217088435291105e-5,0.00013836029078843274
t3,0.0,4.3585069167605925e-5,4.762400034959326e-5,4.7256200407838595e-5,0.00013846526992503778
t4,0.0,4.3551136965472726e-5,4.753650070007824e-5,4.7178441903738165e-5,0.00013826607956928913
t5,0.0,4.354716818193544e-5,4.751127588482645e-5,4.7158561653674224e-5,0.0001382170057204361
t6,0.0,4.354831436001246e-5,4.7502228203407966e-5,4.715272817719503e-5,0.00013820327074061546
t7,0.0,4.3541129510538025e-5,4.742640164098511e-5,4.71028091305182e-5,0.00013807034028204133
t8,0.0,4.358914001452516e-5,4.7734416681259674e-5,4.730935426922841e-5,0.00013863291096501325
t9,0.0,0.061989912427119,1.5511316247434244,0.7445132453004537,2.3576347824709973
t10,0.0,0.06199402329712722,1.5511357249332467,0.7445173439786222,2.357647092208996
t11,0.0,0.0619949361295374,1.5511366351265157,0.7445182528745548,2.3576498241306076
t12,0.0,0.06199540372929694,1.551137099453389,0.7445187169304323,2.357651220113118
t13,0.0,0.0619958734736801,1.5511375655678932,0.7445191825425018,2.357652621584075
t14,0.0,0.06199602903592964,1.5511377216168485,0.7445193392517805,2.3576530899045585
t15,0.0,0.061995091499903086,1.5511367846785529,0.7445184050057744,2.35765028118423
t16,0.0,0.06199278644185054,1.5511344829325353,0.7445161016578414,2.3576433710322275
t17,0.0,3.295560646228395e-5,3.536079264413021e-5,3.515167737694391e-5,0.00010346807648335808
t18,0.0,3.294552199649419e-5,3.529417313130058e-5,3.510437881392425e-5,0.00010334407394171902
t19,0.0,3.2953860106846234e-5,3.53227237277968e-5,3.512600451018691e-5,0.00010340258834482994
t20,0.0,3.295697302497253e-5,3.5327515805748654e-5,3.5129722891007805e-5,0.00010341421172172898
t21,0.0,3.296048677290081e-5,3.533506533421817e-5,3.513538740809971e-5,0.00010343093951521869
t22,0.0,3.2963050491441184e-5,3.533652155024162e-5,3.5137115442634326e-5,0.00010343668748431713
t23,0.0,3.296879126347259e-5,3.535564047630439e-5,3.515119684872258e-5,0.00010347562858849956
t24,0.0,3.299164611920215e-5,3.541655390346206e-5,3.5201472136058545e-5,0.00010360967215872275
t25,0.0,8.214731584677644e-5,8.828456792957983e-5,8.757947441666303e-5,0.0002580113581930193
t26,0.0,7.799641798394694e-5,8.823278606787841e-5,8.744471900153722e-5,0.0002536739230533626
t27,0.0,7.804995831526507e-5,8.856720940768732e-5,8.769839290382905e-5,0.00025431556062678146
t28,0.0,7.805020070354043e-5,8.85486378001379e-5,8.768204153007539e-5,0.0002542808800337537
t29,0.0,3.725722670014254e-5,4.0517358429098324e-5,4.021949643252937e-5,0.00011799408156177023
t30,0.0,3.300346651054891e-5,3.546840623853997e-5,3.523479915242484e-5,0.00010370667190151373
t31,0.0,3.2999513789761916e-5,3.544492182011451e-5,3.521901201139735e-5,0.00010366344762127377
t32,0.0,3.345092599540552e-5,3.677017857359669e-5,3.6240263546279525e-5,0.00010646136811528172
t33,0.0,0.0619870002821584,1.5511286991790052,0.7445103240946952,2.357626023555859
t34,0.0,0.06199034874125805,1.5511320334710033,0.744513657342754,2.3576360395550156
t35,0.0,0.06199115903821977,1.551132848861048,0.7445144713264041,2.357638479225672
t36,0.0,0.061991708292518495,1.551133395384102,0.7445150167165494,2.35764012039317
t37,0.0,0.0619921283204573,1.5511338107980606,0.744515430892161,2.3576413700106786
t38,0.0,0.06199203861169774,1.5511337224611859,0.7445153427129864,2.3576411037858698
t39,0.0,0.06199136373645432,1.5511330501240552,0.7445146728879847,2.3576390867484944
t40,0.0,0.061989367896429275,1.5511310556765796,0.7445126781701058,2.3576331017431147
t41,0.0,3.280630066766935e-5,3.5153261048050215e-5,3.4949142848506367e-5,0.00010290870456422594
t42,0.0,3.279826630833286e-5,3.510786947945127e-5,3.4916273207104986e-5,0.00010282240899488912
t43,0.0,3.280328975526186e-5,3.5126028590994124e-5,3.4930028674653146e-5,0.00010285934702090912
t44,0.0,3.2805238465246236e-5,3.512970011477823e-5,3.4932871420477075e-5,0.00010286781000050154
t45,0.0,3.280829524778024e-5,3.513984538691865e-5,3.494030463140677e-5,0.00010288844526610567
t46,0.0,3.281072979509627e-5,3.514589131649885e-5,3.4945111212113945e-5,0.00010290173232370905
t47,0.0,3.2818465539434276e-5,3.51751609266467e-5,3.496721662863858e-5,0.00010296084309471956
t48,0.0,4.1151242382789146e-5,4.4224564399131925e-5,4.397120436914751e-5,0.00012934701115106857
t49,0.0,7.725653960243756e-5,8.708135924727074e-5,8.63358967723698e-5,0.00025067379562207807
t50,0.0,7.737079283977667e-5,8.792238104657745e-5,8.696081179393024e-5,0.0002522539856802843
t51,0.0,7.734536549503552e-5,8.76481545940894e-5,8.67727634636195e-5,0.00025176628355274444
t52,0.0,7.734948811998376e-5,8.771074560723e-5,8.681418976666011e-5,0.0002518744234938739
t53,0.0,3.3379296555154247e-5,3.6083661906725685e-5,3.58220079077595e-5,0.00010528496636963944
t54,0.0,3.283597929781236e-5,3.525390071612093e-5,3.5023911079769e-5,0.00010311379109370229
t55,0.0,3.28308604892364e-5,3.523071271436329e-5,3.500814248851116e-5,0.00010306971569211085
t56,0.0,3.284233517418794e-5,3.533177732952353e-5,3.507208860524167e-5,0.00010324620110895315
t57,0.0,0.061987224846083044,1.5511289141094724,0.7445105381640903,2.357626677119646
t58,0.0,0.06198916075433231,1.5511308464988665,0.7445124694527017,2.3576324767059003
t59,0.0,0.06198997837187139,1.5511316620873605,0.7445132849104321,2.357634925369664
t60,0.0,0.0619906756244582,1.5511323555851435,0.7445139767106346,2.3576370079202364
t61,0.0,0.061991164709089656,1.5511328476359127,0.7445144679402993,2.357638480285302
t62,0.0,0.06199086202649844,1.5511325437186692,0.7445141638772209,2.3576375696223884
t63,0.0,0.06198985760992825,1.5511315395737513,0.7445131616503985,2.357634558834078
t64,0.0,0.06198808183038565,1.55112976977798,0.7445113913554571,2.3576292429638226
t65,0.0,4.92939430440599e-5,5.4168503899598074e-5,5.369555112932507e-5,0.00015715799807298304
t66,0.0,4.911444556844011e-5,5.356633231265557e-5,5.3216076829333924e-5,0.0001558968547104296
t67,0.0,4.911317752587575e-5,5.3555497692397987e-5,5.3208109618634234e-5,0.00015587678483690797
t68,0.0,4.91183163462368e-5,5.357865025779106e-5,5.322502483388765e-5,0.0001559219914379155
t69,0.0,4.911976586251539e-5,5.3582027115651165e-5,5.322783640679952e-5,0.00015592962938496606
t70,0.0,4.912179726509817e-5,5.358792908476914e-5,5.32327662002697e-5,0.00015594249255013702
t71,0.0,4.912886889311256e-5,5.362113015777994e-5,5.325704298250862e-5,0.00015600704203340112
t72,0.0,4.91433236751463e-5,5.367925424314736e-5,5.3302379974259175e-5,0.00015612495789255282
t73,0.0,0.00021855631539647216,0.00026708718889680006,0.0002629864228195209,0.0007486299271127931
t74,0.0,0.00021868880687094655,0.00026884866432857715,0.00026427182798111987,0.0007518092991806436
t75,0.0,0.0002186999334133091,0.0002690661026463686,0.0002644282522518562,0.0007521942883115339
t76,0.0,0.00021868844208613441,0.000269056300027663,0.00026442540512775485,0.0007521701472415522
t77,0.0,0.00021850832330656537,0.0002678951619580256,0.0002635349344608374,0.0007499384197254284
t78,0.0,4.919271178613011e-5,5.391830085151626e-5,5.347700099029836e-5,0.00015658801362794473
t79,0.0,4.9182548131430515e-5,5.3869235665565196e-5,5.344157604915541e-5,0.00015649335984615112
t80,0.0,0.05749686146750137,1.547098948369955,0.7403944653816971,2.3449902752191534
t81,0.0,0.06198723282522943,1.5511289226216185,0.7445105444537669,2.3576266999006146
t82,0.0,0.06198950024494795,1.551131155179146,0.7445127762324556,2.3576334316565495
t83,0.0,0.06199018073925484,1.5511318362834676,0.7445134563665379,2.3576354733892604
t84,0.0,0.061990648512874,1.5511323076008463,0.7445139273223732,2.3576368834360935
t85,0.0,0.06199108870428455,1.551132749127613,0.7445143673439183,2.3576382051758156
t86,0.0,0.06199119932666066,1.551132855300559,0.7445144734734349,2.3576385281006544
t87,0.0,0.061990427841249356,1.5511320791175849,0.7445136996651401,2.357636206623974
t88,0.0,0.061988583138815244,1.5511302483455325,0.7445118681734383,2.357630699657786
t89,0.0,3.760984754981018e-5,4.082545143457629e-5,4.050148373030822e-5,0.0001189367827146947
t90,0.0,3.749116280125702e-5,4.04384052614274e-5,4.019802475153585e-5,0.00011812759281422027
t91,0.0,3.7493073521352745e-5,4.044751481227494e-5,4.020441352973037e-5,0.00011814500186335805
t92,0.0,3.7494461594348306e-5,4.045331462935381e-5,4.020854773667878e-5,0.00011815632396038089
t93,0.0,3.7496280017882465e-5,4.046209364026989e-5,4.021473046723472e-5,0.00011817310412538707
t94,0.0,3.749710358515127e-5,4.046484945990051e-5,4.021703010672016e-5,0.00011817898315177194
t95,0.0,3.750303240396145e-5,4.0492981586356994e-5,4.023755793939235e-5,0.00011823357192971079
t96,0.0,3.939424522742733e-5,4.2378245242056446e-5,4.209987208253038e-5,0.00012387236255201415
t97,0.0,4.085176504378559e-5,4.43507815748388e-5,4.403551972751583e-5,0.00012923806634614022
t98,0.0,0.00015515173030011614,0.00017059029614554462,0.0001692683438980781,0.0004950103703437388
t99,0.0,4.0039713438236156e-5,4.354917954949314e-5,4.321962740010729e-5,0.0001268085203878366
t100,0.0,3.761255253995744e-5,4.079351333082329e-5,4.049456830068848e-5,0.00011890063417146921
t101,0.0,3.750768436405024e-5,4.05354742201769e-5,4.026739613184759e-5,0.00011831055471607472
t102,0.0,3.7501317763404706e-5,4.051161312030991e-5,4.024935295173418e-5,0.0001182622838354488
t103,0.0,3.749639625447781e-5,4.048231125282692e-5,4.0230423910346935e-5,0.00011820913141765167
t104,0.0,3.751861856948954e-5,4.061396244644233e-5,4.032170198265493e-5,0.00011845428299858679
t105,0.0,0.06198656163459367,1.5511282554737333,0.7445098755068937,2.3576246926152207
t106,0.0,0.06198883467500377,1.551130503995235,0.7445121187051064,2.357631457375345
t107,0.0,0.061989818292867344,1.5511314761669646,0.7445130902042797,2.3576343846641117
t108,0.0,0.06199025511720782,1.551131925989031,0.7445135434675506,2.3576357245737896
t109,0.0,0.06199077950336554,1.5511324450312731,0.7445140581813599,2.3576372827159986
t110,0.0,0.06199026316290062,1.5511319380388444,0.7445135499430151,2.35763575114476
t111,0.0,0.06198954617929662,1.5511312281528344,0.7445128404507243,2.357633614782855
t112,0.0,0.06198757859963244,1.5511292671699495,0.7445108817905103,2.357627727560092
t113,0.0,3.783107292919222e-5,4.102376869807601e-5,4.071262058265993e-5,0.00011956746220992816
t114,0.0,3.776065661296899e-5,4.0776670875350936e-5,4.052530662443467e-5,0.0001190626341127546
t115,0.0,3.776286618851941e-5,4.0794057988050637e-5,4.053740510176963e-5,0.00011909432927833967
t116,0.0,3.7763016048086793e-5,4.079857096023072e-5,4.054049616468245e-5,0.00011910208317299997
t117,0.0,3.776198156840981e-5,4.079584260018249e-5,4.053879460984436e-5,0.00011909661877843665
t118,0.0,3.776288681393046e-5,4.080470482364887e-5,4.0545156870456036e-5,0.00011911274850803536
t119,0.0,3.776612694872942e-5,4.082725414479491e-5,4.056093141174087e-5,0.0001191543125052652
t120,0.0,3.7779937962789644e-5,4.088108845727106e-5,4.0603119888734856e-5,0.00011926414630879557
t121,0.0,9.589964338282791e-5,0.00010089632994135503,0.0001004255840002442,0.00029722155732442713
t122,0.0,3.79011872990929e-5,4.1135100950245564e-5,4.0827623023760024e-5,0.00011986391127309849
