Resource,GibsonSolar,PutahCreek,Resurgence_Hybrid,WillowSpringsSolar,Total
Zone,1,1,1,1,0
AnnualSum,0.0,232.89409073340238,5852.951281498115,2809.1152681148214,8894.96064034634
t1,0.0,0.05766919296441717,1.4501076557179207,0.6958513621092665,2.2036282107916043
t2,0.0,0.05766906013688663,1.450107321481209,0.6958510859294653,2.2036274675475607
t3,0.0,0.05766889485027698,1.450106862683914,0.6958507072468286,2.2036264647810198
t4,0.0,0.05766917697181749,1.4501077531526991,0.6958514774563201,2.203628407580837
t5,0.0,0.05766920007720387,1.4501079987015724,0.6958516632569044,2.2036288620356808
t6,0.0,0.05766918225259364,1.4501080772755013,0.6958517099729089,2.203628969501004
t7,0.0,0.057669212252414226,1.450108734063936,0.6958521150900455,2.203630061406396
t8,0.0,0.05766888245898081,1.4501059457274048,0.6958503400127113,2.203625168199097
t9,0.0,8.125642841234098e-6,8.075510956817606e-6,8.076023447989183e-6,2.4277177246040888e-5
t10,0.0,7.587480094125574e-6,7.543753159288369e-6,7.543909312191305e-6,2.267514256560525e-5
t11,0.0,7.46775339984585e-6,7.425395877331704e-6,7.425577385322966e-6,2.2318726662500523e-5
t12,0.0,7.406318928226809e-6,7.364969750644423e-6,7.365111843424253e-6,2.2136400522295484e-5
t13,0.0,7.34451851972701e-6,7.304296366997048e-6,7.3044428419553665e-6,2.1953257728679423e-5
t14,0.0,7.324146030201596e-6,7.283978961275446e-6,7.284045183501611e-6,2.189217017497865e-5
t15,0.0,7.447223760440249e-6,7.405906262200397e-6,7.405782871070658e-6,2.2258912893711304e-5
t16,0.0,7.749493368058855e-6,7.705043027376961e-6,7.70535196738828e-6,2.31598883628241e-5
t17,0.0,0.0577689655697867,1.4502259979404029,0.6959679770137226,2.203962940523912
t18,0.0,0.05776902271254312,1.4502265255297175,0.6959683356530854,2.203963883895346
t19,0.0,0.05776896259577311,1.4502262911342356,0.6959681640465287,2.2039634177765377
t20,0.0,0.057768936832310866,1.4502262521598577,0.6959681348217791,2.2039633238139476
t21,0.0,0.05776890880067571,1.4502261922077633,0.6959680913223472,2.203963192330786
t22,0.0,0.057768886101379376,1.4502261759309125,0.6959680740656023,2.203963136097894
t23,0.0,0.05776884388883403,1.4502260239059837,0.6959679658892663,2.203962833684084
t24,0.0,0.05776866973983399,1.450225502942993,0.6959675432938214,2.2039617159766483
t25,0.0,0.05723213504801183,1.4497071621600068,0.6954516414938304,2.202390938701849
t26,0.0,0.057237334046497945,1.449569635876665,0.6953213511456053,2.202128321068768
t27,0.0,0.057236807584590585,1.449564447621785,0.6953177396587518,2.2021189948651276
t28,0.0,0.05723676314198676,1.4495647598182484,0.6953179643808168,2.202119487341052
t29,0.0,0.05773030182367435,1.4501775916989967,0.6959205222880362,2.2038284158107073
t30,0.0,0.057768581368882015,1.4502251068395586,0.6959672990245895,2.20396098723303
t31,0.0,0.05776860545180248,1.450225289725622,0.6959674185257335,2.203961313703158
t32,0.0,0.057765039960522915,1.4502126288208117,0.6959581498359407,2.2039358186172753
t33,0.0,8.505302388402496e-6,8.453429875945458e-6,8.4538050487505e-6,2.5412537313098457e-5
t34,0.0,8.067895214487817e-6,8.02241119984916e-6,8.022430381828446e-6,2.4112736796165423e-5
t35,0.0,7.962264639762428e-6,7.91677314023919e-6,7.91684055949916e-6,2.379587833950078e-5
t36,0.0,7.890353218066523e-6,7.845945348168152e-6,7.846054862702396e-6,2.3582353428937072e-5
t37,0.0,7.83518851439882e-6,7.792084941634238e-6,7.79228135645774e-6,2.3419554812490797e-5
t38,0.0,7.846972841096349e-6,7.803534799927614e-6,7.803736389503137e-6,2.34542440305271e-5
t39,0.0,7.935386362095603e-6,7.890699029742453e-6,7.890702956541132e-6,2.371678834837919e-5
t40,0.0,8.196207555697654e-6,8.14901020980156e-6,8.149282387164236e-6,2.4494500152663453e-5
t41,0.0,0.057770257383850415,1.4502278391903205,0.6959697734371993,2.20396787001137
t42,0.0,0.057770304900937534,1.4502282010774152,0.6959700246685327,2.2039685306468852
t43,0.0,0.05777026889394745,1.4502280516258748,0.6959699155713833,2.2039682360912054
t44,0.0,0.05777025279920505,1.4502280213317773,0.6959698930427326,2.203968167173715
t45,0.0,0.05777023007420411,1.4502279412510501,0.6959698366562662,2.2039680079815205
t46,0.0,0.05777021076623,1.4502278903261308,0.6959697974532524,2.203967898545613
t47,0.0,0.057770155773545044,1.450227652129745,0.6959696226100217,2.2039674305133117
t48,0.0,0.05769201390139276,1.450141044365357,0.695883545166288,2.2037166034330378
t49,0.0,0.0572462734742333,1.4495845907077318,0.6953357305450848,2.20216659472705
t50,0.0,0.05724522942702582,1.4495703139736882,0.6953264320258258,2.2021419754265397
t51,0.0,0.057245396726350865,1.4495759375177752,0.6953293726167793,2.2021507068609054
t52,0.0,0.05724534741340925,1.4495746098911004,0.6953286493091656,2.202148606613675
t53,0.0,0.05776548051088407,1.450219383717286,0.6959618932177116,2.2039467574458818
t54,0.0,0.057770031558793296,1.4502270207157815,0.695969179357244,2.203966231631819
t55,0.0,0.057770066326216764,1.4502271967882592,0.6959692983729886,2.203966561487465
t56,0.0,0.05777000466483155,1.4502264194153962,0.6959688404665538,2.2039652645467815
t57,0.0,8.475677147592653e-6,8.425596433424621e-6,8.426027471846416e-6,2.5327301052863692e-5
t58,0.0,8.223020948049565e-6,8.175837184043768e-6,8.176137284321043e-6,2.4574995416414374e-5
t59,0.0,8.116202866917868e-6,8.07030934700008e-6,8.070502949604679e-6,2.4257015163522627e-5
t60,0.0,8.02497787063382e-6,7.980521916633424e-6,7.980803377635712e-6,2.3986303164902955e-5
t61,0.0,7.961188968268798e-6,7.916778334290106e-6,7.917096913438726e-6,2.379506421599763e-5
t62,0.0,8.000636525061607e-6,7.956143624061022e-6,7.95653135274497e-6,2.39133115018676e-5
t63,0.0,8.131827018290466e-6,8.086136515804407e-6,8.08645109403654e-6,2.4304414628131413e-5
t64,0.0,8.363812217171456e-6,8.314981748829215e-6,8.315610740191906e-6,2.4994404706192574e-5
t65,0.0,0.05760985652795419,1.4500367215320467,0.6957818967340987,2.2034284747940998
t66,0.0,0.05761138221398466,1.450042928614461,0.6957867142490015,2.2034410250774474
t67,0.0,0.05761138526569943,1.450043026162252,0.6957867835287771,2.2034411949567283
t68,0.0,0.05761134332582393,1.4500428113653372,0.6957866317172946,2.2034407864084558
t69,0.0,0.05761132698972821,1.4500427748710942,0.6957866021832304,2.203440704044053
t70,0.0,0.05761130618424714,1.4500427121496753,0.6957865513097677,2.20344056964369
t71,0.0,0.05761124951948489,1.4500424042278677,0.6957863316005582,2.2034399853479107
t72,0.0,0.05761113194913099,1.4500418304663143,0.6957858936248,2.203438856040245
t73,0.0,0.0006750774712176159,0.0007762813715083515,0.0007532335639134711,0.0022045924066394383
t74,0.0,0.0006731031137546372,0.0007471797721665134,0.0007376435935202889,0.0021579264794414394
t75,0.0,0.0006726711623311314,0.0007447627825650578,0.0007359599256615383,0.0021533938705577274
t76,0.0,0.0006724906132085415,0.0007448627130871178,0.0007359080632985845,0.002153261389594244
t77,0.0,0.0006741932471000437,0.0007595699170199225,0.0007454303845536804,0.0021791935486736467
t78,0.0,0.05761072752528231,1.4500395116354778,0.6957842352441161,2.2034344744048764
t79,0.0,0.05761079952673414,1.4500399889413336,0.6957845704493316,2.203435358917399
t80,0.0,0.00016466806110714463,0.00015912215851439723,0.00016005320601585694,0.00048384342563739883
t81,0.0,8.474420822960794e-6,8.4243216740286e-6,8.42505352252071e-6,2.5323796019510105e-5
t82,0.0,8.17843590449088e-6,8.135816912227357e-6,8.136323282718019e-6,2.4450576099436254e-5
t83,0.0,8.08956154456357e-6,8.047672037337108e-6,8.048188074417813e-6,2.4185421656318493e-5
t84,0.0,8.028374882294273e-6,7.98664742376792e-6,7.987122797495622e-6,2.4002145103557813e-5
t85,0.0,7.970807454769388e-6,7.929468039898201e-6,7.930061611602991e-6,2.383033710627058e-5
t86,0.0,7.956375617703155e-6,7.915710920178396e-6,7.916302396881405e-6,2.3788388934762953e-5
t87,0.0,8.057282911089145e-6,8.016227487313101e-6,8.016663244963778e-6,2.4090173643366025e-5
t88,0.0,8.29796749797003e-6,8.253060990546232e-6,8.253837803236877e-6,2.4804866291753137e-5
t89,0.0,0.05772677959135676,1.4501748683953133,0.6959180540471339,2.2038197020338037
t90,0.0,0.05772769154139585,1.4501783918849924,0.6959207541241679,2.2038268375505563
t91,0.0,0.05772767724969314,1.4501783158530994,0.6959207035503497,2.203826696653142
t92,0.0,0.057727665905450413,1.4501782673000436,0.695920670349346,2.20382660355484
t93,0.0,0.05772765188293568,1.4501781954790838,0.6959206216613254,2.203826469023345
t94,0.0,0.05772764396404178,1.45017816878233,0.6959206003657405,2.2038264131121124
t95,0.0,0.05772760162361248,1.450177932864271,0.6959204335582493,2.2038259680461327
t96,0.0,0.0577138276788491,1.4501663208799709,0.6959089425469576,2.2037890911057776
t97,0.0,0.057695640339703265,1.4501400357405567,0.6958832273137439,2.203718903394004
t98,0.0,0.05659418326966643,1.4493578146991752,0.6951035688272116,2.201055566796053
t99,0.0,0.057703580759231606,1.4501480296313298,0.6958913670951115,2.203742977485673
t100,0.0,0.057726728530354154,1.450175116051959,0.6959180665308885,2.2038199111132015
t101,0.0,0.057727567335481,1.450177575180049,0.6959201861234388,2.2038253286389686
t102,0.0,0.05772761145919692,1.4501777817957917,0.6959203378529649,2.2038257311079534
t103,0.0,0.05772764039591381,1.4501780087748661,0.6959204748739511,2.203826124044731
t104,0.0,0.05772749412011831,1.4501769133548341,0.6959197446447902,2.2038241521197426
t105,0.0,8.561623001653416e-6,8.510482218900707e-6,8.511499962358442e-6,2.558360518291256e-5
