Resource,GibsonSolar,PutahCreek,Resurgence_Hybrid,WillowSpringsSolar,Total
Zone,1,1,1,1,0
AnnualSum,0.0,7697.2745955287555,260075.8485506175,212372.44693383592,480145.57007998216
t1,0.0,0.0,0.0,0.0,0.0
t2,0.0,0.0,0.0,0.0,0.0
t3,0.0,0.0,0.0,0.0,0.0
t4,0.0,0.0,0.0,0.0,0.0
t5,0.0,0.0,0.0,0.0,0.0
t6,0.0,0.0,0.0,0.0,0.0
t7,0.0,0.0,0.0,0.0,0.0
t8,0.0,0.0,12.445280048054874,9.19035805254636,21.635638100601234
t9,0.0,0.12179445225777513,50.7384415161625,42.261719516620566,93.12195548504084
t10,0.0,0.10727687828003897,55.78616840077988,52.635682370733235,108.52912764979315
t11,0.0,0.03474932281799227,53.61041411808859,50.40771009074107,104.05287353164766
t12,0.0,0.10436939745418558,48.8237616444469,48.38861161269861,97.3167426545997
t13,0.0,0.2784259661073469,49.345938913383655,48.1101128825865,97.7344777620775
t14,0.0,0.12177168442637061,51.26059793744893,51.17356789400707,102.55593751588236
t15,0.0,0.11887591814354449,47.77940335873576,54.16740529239518,102.06568456927448
t16,0.0,0.06086606869286275,38.989383296377184,37.10953528833211,76.15978465340216
t17,0.0,0.0,5.831000508271382,4.247054512449616,10.078055020721
t18,0.0,0.0,0.0,0.0,0.0
t19,0.0,0.0,0.0,0.0,0.0
t20,0.0,0.0,0.0,0.0,0.0
t21,0.0,0.0,0.0,0.0,0.0
t22,0.0,0.0,0.0,0.0,0.0
t23,0.0,0.0,0.0,0.0,0.0
t24,0.0,0.0,0.0,0.0,0.0
t25,0.0,0.0,0.0,0.0,0.0
t26,0.0,0.0,0.0,0.0,0.0
t27,0.0,0.0,0.0,0.0,0.0
t28,0.0,0.0,0.0,0.0,0.0
t29,0.0,0.0,0.0,0.0,0.0
t30,0.0,0.0,0.0,0.0,0.0
t31,0.0,0.0,0.0,0.0,0.0
t32,0.0,0.0,10.878740427196956,9.120734429786546,19.999474856983504
t33,0.0,0.0,43.34089734706218,39.40714134314584,82.74803869020802
t34,0.0,0.5772499351330794,46.996150553851656,50.825470522992624,98.39887101197736
t35,0.0,0.0,47.08317841446366,49.711484385682375,96.79466280014603
t36,0.0,0.08117620641735726,45.2555468438615,47.1353948197298,92.47211787000866
t37,0.0,0.37417514177193695,46.21287556141077,44.55930554645881,91.14635624964151
t38,0.0,0.25813556121980136,48.56268583832793,46.23028182264227,95.05110322219
t39,0.0,0.04926663305332484,45.8647578555051,50.40772382185071,96.32174831040913
t40,0.0,0.10438981488278222,39.59860285219693,37.736160845776126,77.43915351285584
t41,0.0,0.05801064710758777,6.092090521397497,7.310510519012282,13.460611687517368
t42,0.0,0.0,0.0,0.0,0.0
t43,0.0,0.0,0.0,0.0,0.0
t44,0.0,0.0,0.0,0.0,0.0
t45,0.0,0.0,0.0,0.0,0.0
t46,0.0,0.0,0.0,0.0,0.0
t47,0.0,0.0,0.0,0.0,0.0
t48,0.0,0.0,0.0,0.0,0.0
t49,0.0,0.0,0.0,0.0,0.0
t50,0.0,0.0,0.0,0.0,0.0
t51,0.0,0.0,0.0,0.0,0.0
t52,0.0,0.0,0.0,0.0,0.0
t53,0.0,0.0,0.0,0.0,0.0
t54,0.0,0.0,0.0,0.0,0.0
t55,0.0,0.0,0.0,0.0,0.0
t56,0.0,0.0,11.313890491416213,8.842238495025105,20.156128986441317
t57,0.0,0.057978184712317304,44.73337699766206,39.546388995343456,84.33774417771784
t58,0.0,0.17691501894797892,47.43130330184622,47.13540128474127,94.74361960553547
t59,0.0,0.22913112687711545,46.99615146986398,49.22411944431965,96.44940204106075
t60,0.0,0.39158526010379996,43.77603975858642,44.83780573988305,89.00543075857328
t61,0.0,0.10728655082326641,47.51832843601374,45.742916420574915,93.36853140741192
t62,0.0,0.29875286803092643,49.95516925700577,45.88216524603639,96.13608737107307
t63,0.0,0.40319122881600594,48.562691756314635,48.249383736521665,97.21526672165231
t64,0.0,0.10149137532084002,43.340895466973954,34.88157947161071,78.32396631390552
t65,0.0,0.0,6.527239905252678,6.196525905949909,12.723765811202586
